Employer,Headquarters,1a_Sexual_Orientation,1b_Gender_Identity,1c_Contractor_Standards,2a_Spousal_Benefits,2b_Parity_Spousal_Benefits,2c_Trans_Inclusive_Healthcare,3a_Org Competency,3b_ERG,4_Positive_LGBTQ_Engagmt,Negative_LGBTQ_Demerit,2017_CEI_Score,2016_CEI_Score,Fortune_1000_Rank
Baxter International Inc.,"Deerfield, IL",F,F,F,F,F,F,F,F,F,,100,100,185
Bayer Corp.,"Whippany , NJ",F,F,F,F,F,F,,F,F,,90,75,
BB&T Corp.,"Winston-Salem, NC",F,F,F,F,F,F,F,F,F,,100,80,292
"Becton, Dickinson and Co.","Franklin Lakes, NJ",F,F,F,F,F,,,P,P,,65,65,338
Bed Bath & Beyond Inc.,"Union, NJ",P,P,,,,,,,,,20,20,260
Ben & Jerry‰Ûªs Homemade Inc.,"South Burlington, VT",F,F,F,F,F,F,F,F,F,,100,100,
Berkshire Hathaway Inc.,"Omaha, NE",P,P,,,,,,,,,20,0,4
Best Buy Co. Inc.,"Richfield, MN",F,F,F,F,F,F,F,F,F,,100,100,72
Big Lots,"Columbus, OH",F,F,,F,F,,,P,P,,65,20,501
Biogen,"Cambridge, MA",F,F,F,F,F,F,F,F,F,,100,100,298
Black & Veatch Holding Inc.,"Overland Park, KS",F,F,F,F,F,,F,F,P,,85,80,
BlackRock,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,267
Blank Rome LLP,"Philadelphia, PA",F,F,F,F,F,F,F,F,F,,100,100,
Bloomberg LP,"New York, NY",F,F,F,F,F,F,F,F,F,,100,,
Bloomin‰Ûª Brands Inc.,"Tampa, FL",F,F,,F,F,,F,P,,,65,65,580
Blue Cross & Blue Shield of Rhode Island,"Providence, RI",F,F,F,F,F,F,F,F,F,,100,100,
Blue Cross Blue Shield of Florida Inc.,"Jacksonville, FL",F,F,F,F,F,F,F,F,F,,100,100,
Blue Cross Blue Shield of Massachusetts,"Boston, MA",F,F,F,F,F,F,F,F,F,,100,100,
Blue Cross Blue Shield of Michigan,"Detroit, MI",F,F,F,F,F,F,F,F,P,,95,95,
Blue Cross Blue Shield of Minnesota,"Eagan, MN",F,F,F,F,F,F,F,F,F,,100,95,
Blue Cross Blue Shield of North Carolina,"Durham, NC",F,F,F,F,F,F,F,F,F,D,75,100,
Blue Shield of California,"San Francisco, CA",F,F,F,F,F,F,F,F,F,,100,,
BMC HealthNet Plan,"Boston, MA",F,F,F,F,F,,,F,P,,75,60,
BMC Software Inc.,"Houston, TX",F,F,F,F,F,F,,P,P,,80,70,
BMO Bankcorp Inc.,"Chicago, IL",F,F,,F,F,F,F,F,P,,90,90,
BNP Paribas,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
Bob Evans Farms Inc.,"New Albany, OH",F,F,F,F,F,,F,F,F,,90,90,
Boehringer Ingelheim USA Corp.,"Ridgefield, CT",F,F,F,F,F,F,F,F,F,,100,100,
Boeing Co.,"Chicago, IL",F,F,F,F,F,F,F,F,F,,100,100,27
"Boies, Schiller & Flexner LLP","New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
Bon-Ton Stores Inc.,"York, PA",F,F,F,F,F,,F,F,P,,85,85,788
Booz Allen Hamilton Inc.,"McLean, VA",F,F,F,F,F,F,F,F,F,,100,100,475
Borgata Hotel Casino & Spa,"Atlantic City, NJ",F,F,F,F,F,F,F,F,F,,100,100,
BorgWarner Inc.,"Auburn Hills, MI",P,P,,F,F,,,,,,40,20,347
Boston Consulting Group,"Boston, MA",F,F,F,F,F,F,F,F,F,,100,100,
Boston Scientific Corp.,"Marlborough, MA",F,F,F,F,F,F,F,F,F,,100,100,378
BP America Inc.,"Houston, TX",F,F,F,F,F,,F,F,P,,85,85,
Bracewell & Giuliani,"Houston, TX",F,F,F,F,F,,F,F,P,,85,85,
Bridgestone Americas Holding Inc.,"Nashville, TN",F,F,F,F,F,,F,F,P,,80,70,
Bright Horizons Family Solutions Inc.,"Watertown, MA",F,F,F,F,F,F,F,F,F,,100,85,
Brinker International Inc.,"Dallas, TX",F,F,F,F,F,F,,F,P,,80,55,777
Bristol-Myers Squibb Co.,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,195
Broadcom Corp.,"Irvine, CA",P,P,,,,,,,,,20,15,340
Broadridge Financial Solutions Inc.,"Lake Success, NY",F,F,F,F,F,F,F,F,F,,100,100,849
Brooks Brothers Group Inc.,"New York, NY",F,F,F,F,F,,F,F,F,,90,70,
Brown Brothers Harriman & Co.,"New York, NY",F,F,F,F,F,,F,F,F,,90,85,
Brown Rudnick LLP,"Boston, MA",F,F,F,F,F,F,F,F,F,,100,100,
Brown-Forman Corp.,"Louisville, KY",F,F,F,F,F,F,F,F,F,,100,100,756
Bryan Cave LLP,"St. Louis, MO",F,F,F,F,F,F,F,F,F,,100,100,
Buchanan Ingersoll & Rooney PC,"Pittsburgh, PA",F,F,F,F,F,F,F,F,F,,100,,
Buckeye Partners LP,"Houston, TX",P,,,,,,,,,,10,10,406
BuckleySandler LLP,"Washington, DC",F,F,F,F,F,F,F,F,F,,100,100,
Burger King Corp.,"Miami, FL",F,F,F,F,F,,F,F,P,,85,85,
Burlington Northern Santa Fe Corp.,"Fort Worth, TX",P,,F,,,,,,P,,20,20,
Burlington Store Inc.,"Burlington, NJ",F,F,,F,F,,,P,,,55,55,532
C&S Wholesale Grocers Inc.,"Keene, NH",P,,,F,,,,,,,20,20,
C. H. Robinson Worldwide,"Eden Prairie, MN",P,P,,,,,,,,,20,20,225
CA Technologies Inc.,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,568
"Cadwalader, Wickersham & Taft LLP","New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
Caesars Entertainment Corp.,"Las Vegas, NV",F,F,F,F,F,F,F,F,F,,100,100,328
Caleres,"St. Louis, MO",F,F,F,F,F,F,F,F,F,,100,100,844
Calpine Corp.,"Houston, TX",P,,,F,P,,,P,,,30,30,353
Calumet Specialty Products,"Indianapolis, IN",,,,,,,,,,,0,0,457
Cambia Health Solutions Inc.,"Portland, OR",F,F,F,F,F,F,F,F,F,,100,90,
Campbell Soup Co.,"Camden, NJ",F,F,F,F,F,F,F,F,F,,100,100,342
Canadian Imperial Bank of Commerce,"New York, NY",F,F,F,F,F,,F,F,P,,85,55,
Capgemini US LLC,"New York, NY",F,F,F,F,F,,F,F,F,,90,85,
"Capital Markets Company NV, The","New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
Capital One Financial Corp.,"McLean, VA",F,F,F,F,F,F,F,F,F,,100,100,126
Cardinal Health Inc.,"Dublin, OH",F,F,F,F,F,F,F,F,F,,100,100,26
CareFirst Inc.,"Baltimore, MD",F,F,F,F,F,F,F,F,F,,100,85,
Cargill Inc.,"Wayzata, MN",F,F,F,F,F,F,F,F,F,,100,100,
Caribou Coffee Company Inc.,"Minneapolis, MN",F,F,F,F,F,F,,P,F,,85,50,
Carlson Inc.,"Minnetonka, MN",F,F,F,F,F,F,F,F,P,,95,85,
Carlton Fields Jorden Burt,"Tampa, FL",F,F,F,F,F,F,F,F,F,,100,100,
CarMax Inc.,"Richmond, VA",F,F,F,F,F,F,F,P,F,,95,95,232
Carnival Corp.,"Miami, FL",F,F,F,F,F,F,F,F,F,,100,85,
Casey‰Ûªs General Stores Inc.,"Ankeny, IA",,,,,,,,,,,0,0,382
Caterpillar Inc.,"Peoria, IL",F,F,F,F,F,,F,F,F,,90,90,54
CBRE Inc.,"Los Angeles, CA",F,F,F,F,F,F,F,F,F,,100,100,321
CBS Corp.,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,212
CDW Corp.,"Vernon Hills, IL",F,F,F,F,F,,F,F,F,,90,90,253
CEB Inc.,"Arlington, VA",F,F,F,F,F,F,F,F,F,,100,100,
Celanese Corp.,"Irving, TX",F,F,F,F,F,,F,F,F,,90,85,395
Celgene Corp.,"Summit, NJ",F,F,F,F,F,,,F,P,,75,70,369
Centene Corp.,"St. Louis, MO",F,F,F,F,F,F,F,F,P,,95,80,186
CenterPoint Energy Inc.,"Houston, TX",P,P,,,,,,,,,20,10,313
CenturyLink Inc.,"Monroe, LA",F,F,F,F,F,,,F,P,,75,75,168
Cerner Corp.,"North Kansas City, MO",F,F,F,F,F,,F,F,P,,85,85,690
CH2M HILL Companies Ltd.,"Englewood, CO",F,F,F,F,F,,F,F,P,,85,85,480
Chadbourne & Parke LLP,"New York, NY",F,F,F,F,F,,F,F,P,,85,85,
Chamberlin Edmonds & Associates Inc.,"Atlanta, GA",P,,,F,P,,,P,,,30,30,
Chapman and Cutler LLP,"Chicago, IL",F,F,F,F,F,F,F,F,F,,100,100,
Charles Schwab & Co. Inc.,"San Francisco, CA",F,F,F,F,F,F,F,F,F,,100,100,435
Charter Communications,"Stamford, CT",F,F,F,F,F,F,F,F,F,,100,10,317
Chesapeake Energy Corp.,"Oklahoma City, OK",F,F,F,F,F,,,P,P,,65,65,142
Chevron Corp.,"San Ramon, CA",F,F,F,F,F,F,F,F,F,,100,100,3
CHG Healthcare Services Inc.,"Salt Lake City, UT",F,F,F,F,F,,F,F,P,,85,85,
Chipotle Mexican Grill Inc.,"Denver, CO",F,F,,F,F,,,P,F,,70,70,611
"Choate, Hall & Stewart LLP","Boston, MA",F,F,F,F,F,F,F,F,F,,100,100,
Choice Hotels International Inc.,"Rockville, MD",F,F,F,F,F,F,F,F,F,,100,100,
CHS Inc.,"Inver Grove Heights, MN",P,P,,,,,,,,,20,20,69
CIGNA Corp.,"Bloomfield, CT",F,F,F,F,F,F,F,F,F,,100,100,90
Cisco Systems Inc.,"San Jose, CA",F,F,F,F,F,F,F,F,F,,100,100,60
CIT Group Inc.,"New York, NY",P,,,,,,,,,,10,10,662
Citigroup Inc.,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,28
Citrix Systems Inc.,"Fort Lauderdale, FL",F,F,F,F,F,F,F,F,F,,100,,725
Cleary Gottlieb Steen & Hamilton LLP,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
Clifford Chance US LLP,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
"Clorox Co., The","Oakland, CA",F,F,F,F,F,F,F,F,F,,100,100,469
CME Group Inc.,"Chicago, IL",F,F,F,F,F,F,F,F,P,,95,70,732
CNA Insurance,"Chicago, IL",F,F,F,F,F,F,F,F,F,,100,100,
Coach Inc.,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,535
"Coca-Cola Co., The","Atlanta, GA",F,F,F,F,F,F,F,F,F,,100,100,63
Cognizant Technology Solutions Corp.,"Teaneck, NJ",P,P,,,,,,,,,20,20,288
Colgate-Palmolive Co.,"New York, NY",F,F,F,F,F,F,F,F,F,,100,95,179
Columbia Pipeline Group,"Houston, TX",F,F,F,F,F,,,F,P,,70,70,
Comcast NBCUniversal,"Philadelphia, PA",F,F,F,F,F,F,F,F,F,,100,100,43
Comerica Inc.,"Dallas, TX",F,F,F,F,F,F,F,F,F,,100,100,828
Commercial Metals,"Irving, TX",P,P,,,,,,,,,20,20,388
Community Health Systems Inc.,"Franklin, TN",P,P,,,,,,,,,20,20,135
Compass Bancshares Inc. (BBVA Compass),"Birmingham, AL",F,F,F,F,F,,F,F,F,,90,90,
Compass Group USA Inc.,"Charlotte, NC",F,F,F,F,F,,F,F,F,,90,50,
Computer Sciences Corp. (CSC),"Falls Church, VA",F,F,F,F,F,,F,F,P,,80,80,229
ConAgra Foods Inc.,"Omaha, NE",F,F,F,F,F,F,F,F,F,,100,100,173
ConocoPhillips,"Houston, TX",F,F,F,F,F,,,F,F,,80,80,51
Consolidated Edison Co.,"New York, NY",F,F,F,F,F,F,F,F,P,,95,90,236
Constellation Brands Inc.,"Victor, NY",F,F,F,F,F,F,,P,P,,80,40,530
Constellation Energy Group Inc.,"Baltimore, MD",F,F,F,F,F,,F,F,P,,80,80,
Consumers Energy,"Jackson, MI",F,F,F,F,F,F,F,F,P,,95,35,383
Convergys Corp.,"Cincinnati, OH",F,F,F,F,F,F,F,F,F,,100,100,783
Con-way Inc.,"Ann Arbor, MI",P,P,,,,,,,,,20,20,456
Cooley LLP,"Palo Alto, CA",F,F,F,F,F,F,F,F,F,,100,100,
Cooper Tire & Rubber Co.,"Findlay, OH",P,,,,P,,,P,,,20,20,688
Corbis Corp.,"Seattle, WA",P,P,,F,P,,,,,,35,35,
CoreLogic,"Santa Ana, CA",P,P,F,F,F,,F,F,P,,70,70,
Core-Mark Holding Company Inc.,"South San Francisco, CA",,,,,,,,,,,0,0,352
Corning Inc.,"Corning, NY",F,F,F,F,F,F,F,F,F,,100,100,297
Costco Wholesale Corp.,"Issaquah, WA",F,F,,F,F,,F,F,,,70,80,18
Covington & Burling LLP,"Washington, DC",F,F,F,F,F,F,F,F,F,,100,100,
Cox Enterprises Inc.,"Atlanta, GA",F,F,F,F,F,,F,F,F,,90,90,
Cracker Barrel Old Country Store Inc.,"Lebanon, TN",F,,,F,F,,,F,P,,55,55,818
Crate and Barrel / CB2,"Northbrook, IL",F,F,F,F,F,F,F,F,F,,100,90,
"Cravath, Swaine & Moore LLP","New York, NY",F,F,F,F,F,F,F,F,P,,95,85,
Credit Suisse USA Inc.,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
Crowell & Moring LLP,"Washington, DC",F,F,F,F,F,F,F,F,F,,100,100,
Crown Holdings,"Philadelphia, PA",,,,,,,,,,,0,10,318
CSAA Insurance Group,"Walnut Creek, CA",F,F,F,F,F,F,F,F,F,,100,100,
CST Brands,"San Antonio, TX",P,,,,,,,,,,10,10,277
CSX Corp.,"Jacksonville, FL",F,F,,F,F,F,F,F,F,,95,75,240
Cummins Inc.,"Columbus, IN",F,F,F,F,F,F,F,F,F,,100,100,154
CUNA Mutual Group,"Madison, WI",F,F,F,F,F,F,F,F,F,,100,90,687
CVS Health Corp.,"Woonsocket, RI",F,F,F,F,F,F,F,F,F,,100,100,10
Dana Holding Corp.,"Maumee, OH",F,,F,,,,,P,P,,30,30,410
Danaher Corp.,"Washington, DC",F,F,F,F,F,F,F,F,F,,100,100,147
Daniel J. Edelman Inc.,"New York, NY",F,F,F,F,F,F,F,F,F,,100,,
Darden Restaurants Inc.,"Orlando, FL",F,F,F,F,F,F,F,F,F,,100,100,325
Davis Polk & Wardwell LLP,"New York, NY",F,F,F,F,F,F,F,F,P,,95,95,
Davis Wright Tremaine LLP,"Seattle, WA",F,F,F,F,F,F,F,F,F,,100,100,
DaVita Inc.,"Denver, CO",F,F,F,F,F,F,,P,P,,75,45,231
Day Pitney LLP,"Hartford, CT",F,F,F,F,F,F,F,F,F,,100,90,
Dean Foods Co.,"Dallas, TX",P,P,,F,P,,,P,,,40,40,306
Debevoise & Plimpton LLP,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
Dechert LLP,"Philadelphia, PA",F,F,F,F,F,F,F,F,F,,100,100,
Deere & Co.,"Moline, IL",F,F,F,F,F,F,,F,P,,85,75,86
Delek US Holdings,"Brentwood, TN",,,,,,,,,,,0,,345
Delhaize America Inc.,"Salisbury, NC",F,F,F,F,F,F,F,F,F,,100,100,
Dell Inc.,"Round Rock, TX",F,F,F,F,F,F,F,F,F,,100,100,
Deloitte LLP,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
Delta Air Lines Inc.,"Atlanta, GA",F,F,F,F,F,F,F,F,F,,100,90,73
Denny‰Ûªs Corp.,"Spartanburg, SC",F,F,F,F,F,,,F,P,,75,75,
Dentons US LLP,"Washington, DC",F,F,F,F,F,F,F,F,F,,100,100,
"Depository Trust & Clearing Corp., The","New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
Deutsche Bank,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
Devon Energy Corp.,"Oklahoma City, OK",P,P,,F,F,,,,,,40,20,152
Diageo North America,"Norwalk, CT",F,F,F,F,F,F,F,F,F,,100,100,
Dickinson Wright PLLC,"Detroit, MI",F,F,F,F,F,,F,F,P,,85,,
Dick‰Ûªs Sporting Goods Inc.,"Coraopolis, PA",P,P,,,,,,,,,20,20,393
Dickstein Shapiro LLP,"Washington, DC",F,F,,F,F,F,F,F,P,,90,85,
DigitasLBi,"Boston, MA",F,F,F,F,F,F,F,F,F,,100,100,
Dillard‰Ûªs Inc.,"Little Rock, AR",P,P,,,,,,,,,20,20,400
Discover Financial Services,"Riverwoods, IL",F,F,F,F,F,F,F,F,F,,100,100,303
Discovery Communications Inc.,"Silver Spring, MD",P,P,,,,,,,,,20,20,430
DISH Network Corp.,"Englewood, CO",,,,,,,,,,,0,0,208
DLA Piper,"Baltimore, MD",F,F,F,F,F,F,F,F,F,,100,100,
Dole Food Co. Inc.,"Westlake Village, CA",,,,F,,,,,,,10,10,
Dollar General Corp.,"Goodlettsville, TN",F,F,F,F,F,,F,F,P,,85,85,159
Dollar Tree Stores Inc.,"Chesapeake, VA",P,P,,,,,,,,,20,20,330
Dominion Resources Inc.,"Richmond, VA",P,P,F,F,F,,F,F,P,,70,70,243
