Exchange,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Financials,USSIF_Financials,USSIF_ESG,WaterDataset,CarbonEmissions,GlobalEmissions,HRC,ForestRisk,Headquarters,1a_Sexual_Orientation,1b_Gender_Identity,1c_Contractor_Standards,2a_Spousal_Benefits,2b_Parity_Spousal_Benefits,2c_Trans_Inclusive_Healthcare,3a_Org Competency,3b_ERG,4_Positive_LGBTQ_Engagmt,Negative_LGBTQ_Demerit,2017_CEI_Score,2016_CEI_Score,Fortune_1000_Rank
NYSE,GPC,Genuine Parts Company,95.86,$14.08B,n/a,Capital Goods,Automotive Aftermarket,http://www.nasdaq.com/symbol/gpc,1,0,0,0,0,0,1,0,"Atlanta, GA",N,N,N,N,N,N,N,N,N,,0,20,199
NYSE,GNW,Genworth Financial Inc,3.94,$1.97B,2004,Finance,Life Insurance,http://www.nasdaq.com/symbol/gnw,1,0,0,0,0,0,1,0,"Richmond, VA",F,F,F,F,F,F,F,F,F,,100,100,304
NasDaq,GILD,"Gilead Sciences, Inc.",81.17,$106B,1992,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/gild,1,0,0,0,0,1,1,0,"Foster City, CA",F,F,F,F,F,F,N,F,P,,85,80,118
NYSE,GSBD,"Goldman Sachs BDC, Inc.",22.51,$902.87M,2015,n/a,n/a,http://www.nasdaq.com/symbol/gsbd,1,0,0,0,0,0,1,0,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,76
NasDaq,GT,The Goodyear Tire & Rubber Company,33.01,$8.31B,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/gt,1,0,0,1,1,0,1,0,"Akron, OH",F,F,F,F,F,N,N,F,F,,80,10,166
NasDaq,GOOGL,Alphabet Inc.,1007.87,$698.33B,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/googl,1,0,0,0,0,0,1,0,"Mountain View, CA",F,F,F,F,F,F,F,F,F,,100,100,40
NYSE,GPI,"Group 1 Automotive, Inc.",69.48,$1.45B,1997,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/gpi,1,0,0,0,0,0,1,0,"Houston, TX",F,N,N,F,F,N,N,N,N,,35,35,291
NasDaq,GRPN,"Groupon, Inc.",4.63,$2.57B,2011,Technology,Advertising,http://www.nasdaq.com/symbol/grpn,1,0,0,0,0,0,1,0,"Chicago, IL",F,F,F,F,F,F,F,F,F,,100,100,718
NYSE,HRB,"H&R Block, Inc.",25.2,$5.27B,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/hrb,1,0,0,0,0,0,1,0,"Kansas City, MO",F,F,F,F,F,N,N,P,P,,70,70,751
NYSE,HAL,Halliburton Company,44.72,$38.98B,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/hal,1,0,0,1,0,1,1,0,"Houston, TX",P,N,N,N,N,N,N,N,N,,10,10,96
