Exchange,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Financials,USSIF_Financials,USSIF_ESG,WaterDataset,CarbonEmissions,GlobalEmissions,HRC,ForestRisk,Headquarters,1a_Sexual_Orientation,1b_Gender_Identity,1c_Contractor_Standards,2a_Spousal_Benefits,2b_Parity_Spousal_Benefits,2c_Trans_Inclusive_Healthcare,3a_Org Competency,3b_ERG,4_Positive_LGBTQ_Engagmt,Negative_LGBTQ_Demerit,2017_CEI_Score,2016_CEI_Score,Fortune_1000_Rank
NYSE,LM,"Legg Mason, Inc.",38.74,$3.63B,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/lm,1,0,0,0,0,0,1,0,"Baltimore, MD",F,F,F,F,F,F,F,F,P,,95,10,808
NYSE,LUK,Leucadia National Corporation,25.29,$9.07B,n/a,Consumer Non-Durables,Meat/Poultry/Fish,http://www.nasdaq.com/symbol/luk,1,0,0,0,0,0,1,0,"New York, NY",N,N,N,N,N,N,N,N,N,,0,0,244
NasDaq,LPNT,"LifePoint Health, Inc.",55,$2.21B,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/lpnt,1,0,0,0,0,0,1,0,"Brentwood, TN",N,N,N,N,N,N,N,N,N,,0,,495
NYSE,LAD,"Lithia Motors, Inc.",114.72,$2.87B,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/lad,1,0,0,0,0,0,1,0,"Medford, OR",N,N,N,N,N,N,N,N,N,,0,,482
NYSE,LYV,"Live Nation Entertainment, Inc.",41.97,$8.65B,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/lyv,1,0,0,0,0,0,1,0,"Beverly Hills, CA",F,F,F,F,F,N,N,F,P,,75,75,392
NasDaq,LKQ,LKQ Corporation,37.27,$11.51B,n/a,Consumer Services,Motor Vehicles,http://www.nasdaq.com/symbol/lkq,1,0,0,0,0,0,1,0,"Chicago, IL",N,N,N,N,N,N,N,N,N,,0,0,403
NYSE,LMT,Lockheed Martin Corporation,319.39,$91.98B,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/lmt,1,0,0,1,1,1,1,0,"Bethesda, MD",F,F,F,F,F,F,F,F,F,,100,100,64
NYSE,LOW,"Lowe&#39;s Companies, Inc.",82.33,$68.57B,n/a,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/low,1,0,0,0,0,1,1,0,"New York, NY",F,F,F,F,F,N,N,P,F,,75,25,211
NasDaq,LPLA,LPL Financial Holdings Inc.,53,$4.77B,2010,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/lpla,1,0,0,0,0,0,1,0,"Boston, MA",F,F,F,F,F,F,F,F,F,,100,95,
NYSE,M,Macy&#39;s Inc,20.2,$6.15B,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/m,1,0,0,0,0,0,1,0,"Cincinnati, OH",F,F,F,F,F,F,F,F,F,,100,100,105
NYSE,MNK,Mallinckrodt plc,33.29,$3.24B,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mnk,1,0,0,0,0,0,1,0,"Hazelwood, MO",F,F,F,F,F,F,F,F,F,,100,,
NYSE,MAN,ManpowerGroup,122.32,$8.16B,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/man,1,0,0,0,0,0,1,0,"Milwaukee, WI",F,F,F,F,F,F,F,F,F,,100,100,144
NYSE,MRO,Marathon Oil Corporation,13.75,$11.69B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mro,1,0,0,0,0,1,1,0,"Houston, TX",F,F,F,F,F,N,F,F,P,,85,85,227
NYSE,MPC,Marathon Petroleum Corporation,56.37,$28.54B,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/mpc,1,0,0,0,0,1,1,0,"Findlay, OH",F,F,F,F,F,N,N,F,P,,75,55,25
NasDaq,MAR,Marriott International,115.11,$42.87B,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/mar,1,0,0,1,0,0,1,0,"Bethesda, MD",F,F,F,F,F,F,F,F,F,,100,100,221
NYSE,MMC,"Marsh & McLennan Companies, Inc.",83.9,$43B,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/mmc,1,0,0,0,0,1,1,0,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,235
NYSE,MAS,Masco Corporation,38.92,$12.4B,n/a,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/mas,1,0,0,0,0,0,1,0,"Taylor, MI",P,N,N,N,N,N,N,N,N,,10,10,334
NYSE,MA,Mastercard Incorporated,147.34,$163.38B,2006,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ma,1,0,0,0,0,1,1,0,"Purchase, NY",F,F,F,F,F,F,F,F,F,,100,100,308
NasDaq,MAT,"Mattel, Inc.",15.74,$5.39B,n/a,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/mat,1,0,0,0,0,0,1,0,"El Segundo, CA",F,F,F,F,F,F,F,F,F,,100,100,439
NYSE,MKC,"McCormick & Company, Incorporated",98.51,$12.9B,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/mkc,1,0,0,1,0,0,1,1,"Sparks, MD",F,F,F,F,F,F,N,F,P,,80,70,598
NYSE,MDR,"McDermott International, Inc.",6.96,$1.98B,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/mdr,1,0,0,0,0,0,1,0,"Chicago, IL",F,F,F,F,F,F,F,F,F,,100,100,
NYSE,MCD,McDonald&#39;s Corporation,165.37,$133.95B,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/mcd,1,0,0,0,0,1,1,0,"Oak Brook, IL",F,F,F,F,F,F,F,F,F,,100,100,110
NYSE,MCK,McKesson Corporation,147.17,$30.94B,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/mck,1,0,0,0,0,1,1,0,"San Francisco, CA",F,F,F,F,F,F,F,F,F,,100,100,11
NYSE,MDT,Medtronic plc,78.07,$106.06B,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/mdt,1,0,0,1,0,1,1,0,"Minneapolis, MN",F,F,F,F,F,F,F,F,F,,100,100,
NYSE,MRK,"Merck & Company, Inc.",63.39,$172.89B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mrk,1,0,0,1,0,1,1,0,"Kenilworth, NJ",F,F,F,F,F,F,F,F,F,,100,100,71
NYSE,MET,"MetLife, Inc.",52.72,$55.94B,2000,Finance,Life Insurance,http://www.nasdaq.com/symbol/met,1,0,0,0,0,1,1,0,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,39
NYSE,MGM,MGM Resorts International,29.74,$17.11B,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/mgm,1,0,0,0,0,0,1,0,"Las Vegas, NV",F,F,F,F,F,F,F,F,F,,100,100,289
NasDaq,MU,"Micron Technology, Inc.",40.4,$45.01B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/mu,1,0,0,1,0,0,1,0,"Boise, ID",P,P,N,F,F,N,N,N,N,,40,20,190
NasDaq,MSFT,Microsoft Corporation,77.49,$596.85B,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/msft,1,0,0,1,0,1,1,0,"Redmond, WA",F,F,F,F,F,F,F,F,F,,100,100,31
NYSE,MHK,"Mohawk Industries, Inc.",254.99,$18.96B,n/a,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/mhk,1,0,0,0,0,0,1,0,"Calhoun, GA",P,P,N,F,P,N,N,N,N,,35,15,362
NYSE,MOH,Molina Healthcare Inc,61.28,$3.5B,2003,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/moh,1,0,0,0,0,0,1,0,"Long Beach, CA",F,F,F,F,F,N,N,P,N,,60,60,301
NasDaq,MDLZ,"Mondelez International, Inc.",41.68,$62.84B,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/mdlz,1,0,0,1,1,1,1,0,"East Hanover, NJ",F,F,F,F,F,F,F,F,F,,100,100,91
NYSE,MON,Monsanto Company,122.3,$53.73B,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/mon,1,0,0,0,1,1,1,0,"St. Louis, MO",F,F,F,F,F,F,F,F,F,,100,100,197
NYSE,MCO,Moody&#39;s Corporation,144.24,$27.55B,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/mco,1,0,0,0,0,0,1,0,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,699
NasDaq,MORN,"Morningstar, Inc.",85.63,$3.64B,2005,Finance,Investment Managers,http://www.nasdaq.com/symbol/morn,1,0,0,0,0,0,1,0,"Chicago, IL",F,F,F,F,F,F,N,F,F,,90,85,
NYSE,MOS,Mosaic Company (The),21.78,$7.65B,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/mos,1,0,0,0,1,1,1,0,"Plymouth, MN",F,F,F,F,F,F,N,P,F,,85,85,320
NYSE,MSI,"Motorola Solutions, Inc.",89.93,$14.63B,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/msi,1,0,0,1,0,1,1,0,"Schaumburg, IL",F,F,N,F,F,N,F,F,P,,75,80,363
NYSE,MRC,MRC Global Inc.,18.23,$1.72B,2012,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/mrc,1,0,0,0,0,0,1,0,"Houston, TX",P,N,N,N,N,N,N,N,N,,10,10,448
NYSE,MUR,Murphy Oil Corporation,25.64,$4.42B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mur,1,0,0,0,0,0,1,0,"El Dorado, AR",P,N,N,N,N,N,N,N,N,,10,10,350
NYSE,MUSA,Murphy USA Inc.,73.55,$2.65B,2013,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/musa,1,0,0,0,0,0,1,0,"El Dorado, AR",N,N,N,N,N,N,N,N,N,,0,0,202
NYSE,NOV,"National Oilwell Varco, Inc.",34.65,$13.17B,n/a,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/nov,1,0,0,0,0,1,1,0,"Houston, TX",P,N,N,N,N,N,N,N,N,,10,10,127
NYSE,NCI,"Navigant Consulting, Inc.",17.09,$798.62M,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/nci,1,0,0,0,0,0,1,0,"Chicago, IL",F,F,F,F,F,F,F,F,F,,100,100,
NYSE,NCR,NCR Corporation,37.54,$4.56B,n/a,Miscellaneous,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/ncr,1,0,0,0,0,0,1,0,"Duluth, GA",F,F,F,F,F,F,F,F,F,,100,100,412
NasDaq,NTAP,"NetApp, Inc.",43.63,$11.77B,1995,Technology,Electronic Components,http://www.nasdaq.com/symbol/ntap,1,0,0,1,0,1,1,0,"Sunnyvale, CA",F,F,F,F,F,F,F,F,P,,95,95,428
NasDaq,NFLX,"Netflix, Inc.",199.49,$86.13B,2002,Consumer Services,Consumer Electronics/Video Chains,http://www.nasdaq.com/symbol/nflx,1,0,0,0,0,0,1,0,"Los Gatos, CA",F,F,F,F,F,F,F,F,F,,100,90,474
NYSE,NYT,New York Times Company (The),19.15,$3.1B,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/nyt,1,0,0,0,0,0,1,0,"New York, NY",F,F,F,F,F,N,F,F,P,,85,85,
NYSE,NEM,Newmont Mining Corporation,38.59,$20.58B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/nem,1,0,0,0,1,1,1,0,"Greenwood Village, CO",F,F,F,F,F,F,F,F,F,,100,80,379
NasDaq,NWS,News Corporation,14.05,$8.19B,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/nws,1,0,0,0,0,0,1,1,"New York, NY",N,N,N,N,N,N,N,N,N,,0,,331
NYSE,NLSN,Nielsen N.V.,39.7,$14.16B,2011,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/nlsn,1,0,0,0,0,0,1,0,"New York City, NY",F,F,F,F,F,F,F,F,F,,100,100,
NYSE,NKE,"Nike, Inc.",50.98,$83.17B,n/a,Consumer Non-Durables,Shoe Manufacturing,http://www.nasdaq.com/symbol/nke,1,0,0,0,0,1,1,0,"Beaverton, OR",F,F,F,F,F,F,F,F,F,,100,100,106
NYSE,NI,"NiSource, Inc",26.6,$8.67B,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/ni,1,0,0,0,0,0,1,0,"Merrillville, IN",F,F,F,F,F,N,N,F,P,,75,75,418
NYSE,JWN,"Nordstrom, Inc.",42.65,$7.09B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/jwn,1,0,0,0,0,0,1,0,"Seattle, WA",F,F,F,F,F,F,F,F,F,,100,100,224
NYSE,NSC,Norfolk Souther Corporation,131.65,$37.94B,n/a,Transportation,Railroads,http://www.nasdaq.com/symbol/nsc,1,0,0,0,0,1,1,0,"Norfolk, VA",F,F,F,F,F,N,F,F,P,,80,45,256
NasDaq,NTRS,Northern Trust Corporation,92.99,$21.25B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ntrs,1,0,0,0,0,0,1,0,"Chicago, IL",F,F,F,F,F,F,F,F,F,,100,100,571
NYSE,NOC,Northrop Grumman Corporation,296.4,$51.6B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/noc,1,0,0,0,1,1,1,0,"Falls Church, VA",F,F,F,F,F,F,F,F,F,,100,100,124
NYSE,NRG,"NRG Energy, Inc.",26.06,$8.25B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/nrg,1,0,0,0,0,0,1,0,"Princeton, NJ",F,F,N,F,F,N,F,P,P,,70,65,196
NYSE,NUE,Nucor Corporation,58.31,$18.63B,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/nue,1,0,0,0,1,0,1,0,"Charlotte, NC",P,N,N,N,N,N,N,N,N,,10,10,139
NasDaq,NVDA,NVIDIA Corporation,194.59,$116.75B,1999,Technology,Semiconductors,http://www.nasdaq.com/symbol/nvda,1,0,0,0,0,0,1,0,"Santa Clara, CA",F,F,F,F,F,F,F,F,F,,100,100,553
NYSE,OXY,Occidental Petroleum Corporation,64.73,$49.49B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/oxy,1,0,0,1,0,1,1,0,"Los Angeles, CA",P,P,N,N,N,N,N,N,N,,20,20,115
NasDaq,ODP,"Office Depot, Inc.",3.81,$1.97B,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/odp,1,0,0,0,0,0,1,1,"Boca Raton, FL",F,F,F,F,F,F,F,F,F,,100,100,194
NYSE,ORI,Old Republic International Corporation,19.73,$5.2B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ori,1,0,0,0,0,0,1,0,"Chicago, IL",N,N,N,N,N,N,N,N,N,,0,0,472
NYSE,OMC,Omnicom Group Inc.,75.14,$17.34B,n/a,Technology,Advertising,http://www.nasdaq.com/symbol/omc,1,0,0,0,0,0,1,0,"New York, NY",F,F,F,F,F,F,F,F,F,,100,85,200
NYSE,OGS,"ONE Gas, Inc.",74.75,$3.91B,2014,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/ogs,1,0,0,0,0,0,1,0,"Tulsa, OK",F,F,F,F,F,N,N,P,P,,70,70,
NYSE,OKE,"ONEOK, Inc.",56.47,$21.46B,n/a,Public Utilities,Oil & Gas Production,http://www.nasdaq.com/symbol/oke,1,0,0,0,0,0,1,0,"Tulsa, OK",F,F,F,F,F,N,F,F,P,,85,85,237
NYSE,OPY,"Oppenheimer Holdings, Inc.",17.85,$236.36M,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/opy,1,0,0,0,0,0,1,0,"New York, NY",F,F,F,F,F,F,F,F,F,,100,60,
NYSE,ORCL,Oracle Corporation,48.61,$202.87B,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/orcl,1,0,0,0,0,1,1,0,"Redwood City, CA",F,F,F,F,F,F,F,F,F,,100,100,81
NasDaq,ORLY,"O&#39;Reilly Automotive, Inc.",209.72,$18.46B,1993,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/orly,1,0,0,0,0,0,1,0,"Springfield, MO",P,N,N,N,N,N,N,N,N,,10,10,381
NYSE,OSK,Oshkosh Corporation,87.05,$6.51B,n/a,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/osk,1,0,0,0,0,0,1,0,"Oshkosh, WI",P,P,N,N,N,N,N,N,N,,20,10,394
NasDaq,OSTK,"Overstock.com, Inc.",29.2,$730.01M,2002,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/ostk,1,0,0,0,0,0,1,0,"Salt Lake City, UT",F,F,F,F,F,N,N,F,F,,80,80,
NYSE,OMI,"Owens & Minor, Inc.",27.98,$1.71B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/omi,1,0,0,0,0,0,1,0,"Mechanicsville, VA",F,F,F,F,F,N,F,F,P,,80,85,309
NYSE,OC,Owens Corning Inc,79.25,$8.81B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/oc,1,0,0,1,0,0,1,0,"Toledo, OH",F,F,F,F,F,F,F,F,F,,100,100,498
NYSE,OI,"Owens-Illinois, Inc.",25.56,$4.16B,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/oi,1,0,0,1,0,0,1,0,"Perrysburg, OH",P,P,N,N,N,N,N,N,N,,20,10,399
NasDaq,PCAR,PACCAR Inc.,72.69,$25.54B,n/a,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/pcar,1,0,0,0,1,1,1,0,"Bellevue, WA",P,P,N,N,N,N,N,N,N,,20,20,158
NYSE,PKG,Packaging Corporation of America,115.69,$10.92B,2000,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/pkg,1,0,0,0,0,0,1,0,"Lake Forest, IL",N,N,N,N,N,N,N,N,N,,0,,451
NYSE,P,"Pandora Media, Inc.",7.97,$1.93B,2011,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/p,1,0,0,0,0,0,1,0,"Oakland, CA",F,F,F,F,F,F,F,F,F,,100,,
NasDaq,PDCO,"Patterson Companies, Inc.",37.41,$3.58B,1992,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/pdco,1,0,0,0,0,0,1,0,"St. Paul, MN",F,F,F,F,F,N,N,P,N,,60,40,617
NasDaq,PYPL,"PayPal Holdings, Inc.",68.66,$82.56B,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/pypl,1,0,0,0,0,0,1,0,"San Jose, CA",F,F,F,F,F,F,F,F,F,,100,100,
NYSE,PBF,PBF Energy Inc.,27.32,$3B,2012,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/pbf,1,0,0,0,0,0,1,0,"Parsippany, NJ",N,N,N,N,N,N,N,N,N,,0,0,149
NYSE,BTU,Peabody Energy Corporation,28.39,$2.85B,2017,Energy,Coal Mining,http://www.nasdaq.com/symbol/btu,1,0,0,0,0,0,1,0,"St. Louis, MO",P,N,N,N,N,N,N,N,N,,10,10,398
NYSE,PAG,"Penske Automotive Group, Inc.",45.24,$3.89B,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/pag,1,0,0,0,0,0,1,0,"Bloomfield Hills, MI",N,N,N,N,N,N,N,N,N,,0,0,177
NYSE,PEP,"Pepsico, Inc.",112.62,$160.16B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/pep,1,0,0,1,1,1,1,1,"Purchase, NY",F,F,F,F,F,F,F,F,F,,100,100,44
NYSE,PFE,"Pfizer, Inc.",36.34,$216.13B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/pfe,1,0,0,1,0,1,1,0,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,56
NYSE,PCG,Pacific Gas & Electric Co.,57.72,$29.6B,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/pcg,1,0,0,0,0,1,1,0,"San Francisco, CA",F,F,F,F,F,F,F,F,F,,100,100,182
NYSE,PM,Philip Morris International Inc,113.99,$177.05B,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/pm,1,0,0,1,0,1,1,0,"New York, NY",P,N,N,N,N,N,N,N,N,,10,10,102
NYSE,PSX,Phillips 66,94.43,$48.3B,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/psx,1,0,0,0,0,1,1,0,"Houston, TX",F,F,F,F,F,N,N,F,P,,75,20,7
NYSE,PNW,Pinnacle West Capital Corporation,87.38,$9.75B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/pnw,1,0,0,0,0,0,1,0,"Phoenix, AZ",F,F,F,F,F,F,N,F,F,,90,50,683
NYSE,PXD,Pioneer Natural Resources Company,143.92,$24.48B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/pxd,1,0,0,0,0,0,1,0,"Irving, TX",N,N,N,N,N,N,N,N,N,,0,,496
NYSE,PNM,"PNM Resources, Inc. (Holding Co.)",41.35,$3.29B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/pnm,1,0,0,0,0,0,1,0,"Albuquerque, NM",F,F,F,F,F,N,N,P,P,,65,65,
NYSE,POR,Portland General Electric Company,46.25,$4.12B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/por,1,0,0,0,0,0,1,0,"Portland, OR",F,F,F,F,F,F,F,F,F,,100,100,
NYSE,PPG,"PPG Industries, Inc.",113.5,$29.11B,n/a,Basic Industries,Paints/Coatings,http://www.nasdaq.com/symbol/ppg,1,0,0,1,1,1,1,0,"Pittsburgh, PA",F,F,F,F,F,N,N,F,P,,75,75,198
NYSE,PPL,PPL Corporation,37.56,$25.76B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/ppl,1,0,0,0,0,1,1,0,"Allentown, PA",F,F,F,F,F,F,F,F,F,,100,95,257
NYSE,PX,"Praxair, Inc.",142.21,$40.68B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/px,1,0,0,0,1,1,1,0,"Danbury, CT",F,F,F,F,F,F,F,F,F,,100,95,249
NYSE,PFG,Principal Financial Group Inc,67.21,$19.42B,2001,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/pfg,1,0,0,0,0,0,1,0,"Des Moines, IA",F,F,F,F,F,F,F,F,F,,100,100,282
NYSE,PG,Procter & Gamble Company (The),93.04,$237.25B,n/a,Basic Industries,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/pg,1,0,0,0,0,1,1,0,"Cincinnati, OH",F,F,F,F,F,F,F,F,F,,100,100,32
NYSE,PGR,Progressive Corporation (The),48.67,$28.32B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pgr,1,0,0,0,0,0,1,0,"Mayfield Village, OH",F,F,N,F,F,F,F,F,P,,90,90,153
NYSE,PEG,Public Service Enterprise Group Incorporated,48.64,$24.61B,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/peg,1,0,0,0,0,1,1,0,"Newark, NJ",F,F,F,F,F,N,F,F,F,,90,80,274
NYSE,PHM,"PulteGroup, Inc.",27.07,$8.17B,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/phm,1,0,0,0,0,0,1,0,"Atlanta, GA",P,N,N,N,N,N,N,N,N,,10,10,453
NYSE,PVH,PVH Corp.,124.94,$9.67B,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/pvh,1,0,0,0,0,0,1,0,"New York, NY",F,F,F,F,F,F,N,F,P,,85,85,351
NasDaq,QCOM,QUALCOMM Incorporated,52.82,$77.97B,1991,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/qcom,1,0,0,1,0,1,1,0,"San Diego, CA",F,F,F,F,F,F,F,F,F,,100,100,113
NYSE,PWR,"Quanta Services, Inc.",37.29,$5.64B,n/a,Capital Goods,Engineering & Construction,http://www.nasdaq.com/symbol/pwr,1,0,0,0,0,0,1,0,"Houston, TX",P,N,N,N,N,N,N,N,N,,10,10,361
NYSE,DGX,Quest Diagnostics Incorporated,91.06,$12.42B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/dgx,1,0,0,0,0,0,1,0,"Madison, NJ",F,F,F,F,F,F,F,F,F,,100,90,375
NYSE,RRD,R.R. Donnelley & Sons Company,10.23,$716.1M,n/a,Miscellaneous,Publishing,http://www.nasdaq.com/symbol/rrd,1,0,0,0,0,0,1,0,"Chicago, IL",F,F,F,F,F,N,F,F,F,,90,90,258
NYSE,RL,Ralph Lauren Corporation,85.04,$6.91B,1997,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/rl,1,0,0,0,0,0,1,0,"New York, NY",F,F,F,F,F,N,F,F,F,,90,90,374
NYSE,RJF,"Raymond James Financial, Inc.",85.33,$12.3B,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/rjf,1,0,0,0,0,0,1,0,"St. Petersburg, FL",F,F,F,F,F,N,F,F,P,,85,85,521
NYSE,RTN,Raytheon Company,187.89,$54.53B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/rtn,1,0,0,1,0,1,1,0,"Waltham, MA",F,F,F,F,F,F,F,F,F,,100,100,129
NasDaq,ROLL,RBC Bearings Incorporated,126.5,$3.07B,2005,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/roll,1,0,0,0,0,0,1,0,"Minneapolis, MN",F,F,F,F,F,F,F,F,F,,100,100,
NYSE,RLGY,Realogy Holdings Corp.,32.15,$4.38B,2012,Finance,Real Estate,http://www.nasdaq.com/symbol/rlgy,1,0,0,0,0,0,1,0,"Madison, NJ",F,F,F,F,F,N,F,F,P,,85,75,488
NYSE,RGC,Regal Entertainment Group,16.18,$2.54B,2002,Consumer Services,Movies/Entertainment,http://www.nasdaq.com/symbol/rgc,1,0,0,0,0,0,1,0,"Knoxville, TN",F,F,F,F,F,N,F,F,P,,85,85,757
NYSE,RGA,"Reinsurance Group of America, Incorporated",142.85,$9.21B,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/rga,1,0,0,0,0,0,1,0,"Chesterfield, MO",P,P,N,N,N,N,N,N,N,,20,20,273
NYSE,RS,Reliance Steel & Aluminum Co.,76.53,$5.58B,1994,Basic Industries,Metal Fabrications,http://www.nasdaq.com/symbol/rs,1,0,0,0,0,0,1,0,"Los Angeles, CA",P,N,N,N,N,N,N,N,N,,10,10,283
NYSE,RSG,"Republic Services, Inc.",63.33,$21.33B,1998,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/rsg,1,0,0,0,0,0,1,0,"Phoenix, AZ",F,F,F,F,F,N,F,F,P,,85,80,323
NYSE,RAD,Rite Aid Corporation,1.74,$1.85B,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/rad,1,0,0,0,0,0,1,0,"Camp Hill, PA",F,F,F,F,F,N,N,F,N,,65,65,117
