Exchange,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Financials,USSIF_Financials,USSIF_ESG,WaterDataset,CarbonEmissions,GlobalEmissions,HRC,ForestRisk,Headquarters,1a_Sexual_Orientation,1b_Gender_Identity,1c_Contractor_Standards,2a_Spousal_Benefits,2b_Parity_Spousal_Benefits,2c_Trans_Inclusive_Healthcare,3a_Org Competency,3b_ERG,4_Positive_LGBTQ_Engagmt,Negative_LGBTQ_Demerit,CEI_Score_2017,CEI_Score_2016,Fortune_1000_Rank,Diff,Reco
NYSE,BEN,"Franklin Resources, Inc.",44.64,$24.9B,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/ben,1,0,0,0,0,1,1,0,"San Mateo, CA",F,F,F,F,F,F,F,F,F,,100,90,335,10,Moderate Sell
NasDaq,HAS,"Hasbro, Inc.",96.62,$12.09B,n/a,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/has,1,0,0,0,0,0,1,0,"Pawtucket, RI",F,F,F,F,F,F,F,F,F,,100,90,595,10,Moderate Buy
NYSE,KMB,Kimberly-Clark Corporation,118.56,$41.89B,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/kmb,1,0,0,1,0,1,1,1,"Irving, TX",F,F,F,F,F,F,F,F,F,,100,90,140,10,Hold
NYSE,KND,"Kindred Healthcare, Inc.",6,$522.11M,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/knd,1,0,0,0,0,0,1,0,"Louisville, KY",P,P,N,N,N,N,N,N,N,,20,10,491,10,Hold
NYSE,MKC,"McCormick & Company, Incorporated",98.51,$12.9B,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/mkc,1,0,0,1,0,0,1,1,"Sparks, MD",F,F,F,F,F,F,N,F,P,,80,70,598,10,Moderate Buy
NasDaq,NFLX,"Netflix, Inc.",199.49,$86.13B,2002,Consumer Services,Consumer Electronics/Video Chains,http://www.nasdaq.com/symbol/nflx,1,0,0,0,0,0,1,0,"Los Gatos, CA",F,F,F,F,F,F,F,F,F,,100,90,474,10,Moderate Buy
NYSE,OSK,Oshkosh Corporation,87.05,$6.51B,n/a,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/osk,1,0,0,0,0,0,1,0,"Oshkosh, WI",P,P,N,N,N,N,N,N,N,,20,10,394,10,Strong Buy
NYSE,OI,"Owens-Illinois, Inc.",25.56,$4.16B,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/oi,1,0,0,1,0,0,1,0,"Perrysburg, OH",P,P,N,N,N,N,N,N,N,,20,10,399,10,Hold
NYSE,PEG,Public Service Enterprise Group Incorporated,48.64,$24.61B,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/peg,1,0,0,0,0,1,1,0,"Newark, NJ",F,F,F,F,F,N,F,F,F,,90,80,274,10,Moderate Buy
NYSE,DGX,Quest Diagnostics Incorporated,91.06,$12.42B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/dgx,1,0,0,0,0,0,1,0,"Madison, NJ",F,F,F,F,F,F,F,F,F,,100,90,375,10,Hold
