Name,Fund Type,AUM (US$ millions),Mgmt Fee %,Exp Ratio %,YTD %,Avg % 3 yr,Climate/Clean Technology,Pollution/Toxics,Environment,Community Development,Diversity & EEO,Human Rights,Labor Relations,Sudan,Board Issues,Executive Pay,Alcohol,Animal Welfare,Defense/Weapons,Gambling,Tobacco,Other / Qualitative,Shareholder Engagement
PXWGX - Pax ESG Beta Quality Fund - Individual Investor,Equity Large Cap,199.53,0.65,1.07,11.48,7.82,C,C,C,C,C,C,C,R,C,C,C,C,X,C,X,,Yes
PWGIX - Pax ESG Beta Quality Fund - Institutional Investor,Equity Large Cap,199.53,0.65,0.84,11.67,8.08,C,C,C,C,C,C,C,R,C,C,C,C,X,C,X,,Yes
PGRNX - Pax Global Environmental Markets Fund - Individual Investor,Int'l Global,511.04,0.8,1.29,17.56,7.14,C *,C,C,C,C,C,C,R,C,C,C,C,X,C,X,,Yes
PGINX - Pax Global Environmental Markets Fund - Institutional Class,Int'l Global,511.04,0.8,1.04,17.73,7.39,C *,C,C,C,C,C,C,R,C,C,C,C,X,C,X,,Yes
PXEAX - Pax Global Environmental Markets Fund A,Int'l Global,511.04,0.8,1.3,17.52,7.1,C *,C,C,C,C,C,C,R,C,C,C,C,X,C,X,,Yes
PAXHX - Pax High Yield Bond Fund - Individual Investor,Bond (Fixed Inc),413.08,0.5,0.99,4.94,1.92,C,C,C,C,C,C,C,R,C,C,C,C,X,C,X,,Yes
PXHIX - Pax High Yield Bond Fund - Institutional Investor,Bond (Fixed Inc),413.08,0.5,0.74,5.27,2.21,C,C,C,C,C,C,C,R,C,C,C,C,X,C,X,,Yes
PXHAX - Pax High Yield Bond Fund A,Bond (Fixed Inc),413.08,0.5,0.98,5.09,2.01,C,C,C,C,C,C,C,R,C,C,C,C,X,C,X,,Yes
PAXLX - Pax Large Cap Fund Individual,Equity Large Cap,773.57,0.65,0.95,11.35,0,--,--,C,C,C,C,C,R,C,C,C,C,R,--,X,,Yes
PXLIX - Pax Large Cap Fund Intitutional,Equity Large Cap,773.57,0.65,0.7,11.53,0,--,--,C,C,C,C,C,R,C,C,C,C,R,--,X,,Yes
PWMDX - Pax Mid Cap Fund Individual,Equity Mid-Sm Cap,146.41,0.75,1.15,7.66,0,--,--,C,C,C,C,C,R,C,C,C,C,R,--,X,,Yes
PMIDX - Pax Mid Cap Fund Institutional,Equity Mid-Sm Cap,146.41,0.75,0.9,7.96,0,--,--,C,C,C,C,C,R,C,C,C,C,R,--,X,,Yes
PXINX - Pax MSCI EAFE ESG Leaders Index Fund - Individual Investor,Int'l Global,609.39,0.55,0.8,17.06,2.45,C,C,C,C,C,C,C,--,C,C,--,--,R,--,R,,Yes
PXNIX - Pax MSCI EAFE ESG Leaders Index Fund - Institutional Class,Int'l Global,609.39,0.55,0.55,17.24,2.7,C,C,C,C,C,C,C,--,C,C,--,--,R,--,R,,Yes
PXSCX - Pax Small Cap Fund - Individual Investor,Equity Mid-Sm Cap,821.23,0.75,1.19,-1.01,4.55,C,C,C,C,C,C,C,R,C,C,C,C,X,C,X,,Yes
PXSIX - Pax Small Cap Fund - Institutional Class,Equity Mid-Sm Cap,821.23,0.75,0.94,-0.81,4.82,C,C,C,C,C,C,C,R,C,C,C,C,X,C,X,,Yes
PXSAX - Pax Small Cap Fund A,Equity Mid-Sm Cap,821.23,0.75,1.19,-1.01,4.56,C,C,C,C,C,C,C,R,C,C,C,C,X,C,X,,Yes
PORTX/ - Portfolio 21 Global Equity Fund,Int'l Global,471.51,0.9,1.33,18.43,7,R *,C,R,X,C,C,C,--,--,--,--,R,R,R,R,,Yes
PORIX - Portfolio 21 Institutional,Int'l Global,471.51,0.9,1.08,18.65,7.27,P *,P,P,P,R,R,R,C,P,R,R,R,R,R,R,Yes,Yes
MBAPX - Praxis Genesis Balanced A,Balanced,69.12,0.05,0.54,8.02,4.22,P,P,P,P,P,P,P,--,P,P,X,--,X,X,X,,
MCONX - Praxis Genesis Conservative A,Balanced,22.25,0.05,0.6,5.94,3.25,P,P,P,P,P,P,P,--,P,P,X,--,X,X,X,,
MGAFX - Praxis Genesis Growth A,Balanced,60.16,0.05,0.62,9.43,5.04,P,P,P,P,P,P,P,--,P,P,X,--,X,X,X,,
MMDEX - Praxis Growth Index Fund - Institutional,Equity Large Cap,244.09,0.3,0.44,17.33,10.93,--,--,P,P,P,P,P,--,--,--,X,R,X,X,X,,
MGNDX - Praxis Growth Index Fund A,Equity Large Cap,244.09,0.3,0.86,17,10.48,--,--,P,P,P,P,P,--,--,--,X,R,X,X,X,,
MIIIX - Praxis Intermediate Income - Institutional,Bond (Fixed Inc),500.34,0.4,0.54,3.72,2.61,--,--,P,P,P,P,P,--,--,--,X,R,X,X,X,,
MIIAX - Praxis Intermediate Income A,Bond (Fixed Inc),500.34,0.4,0.94,3.36,2.2,--,--,P,P,P,P,P,--,--,--,X,R,X,X,X,,
MPLAX - Praxis International Index A,Int'l Global,271.46,0.6,1.32,18.27,2.09,--,--,P,P,P,P,P,--,--,--,X,R,X,X,X,,
MPLIX - Praxis International Index Fund - Institutional,Equity Specialty,271.46,0.6,0.77,18.82,2.66,--,--,P,P,P,P,P,--,--,--,X,R,X,X,X,,
MMSIX - Praxis Small Cap Fund - Institutional,Equity Mid-Sm Cap,47.92,0.3,1,-0.19,1.81,--,--,P,P,P,P,P,--,--,--,X,R,X,X,X,,
MMSCX - Praxis Small Cap Fund A,Equity Mid-Sm Cap,47.92,0.3,1.67,-0.52,1.22,--,--,P,P,P,P,P,--,--,--,X,R,X,X,X,,
MVIIX - Praxis Value Index - Institutional,Equity Large Cap,177.74,0.3,0.44,5.81,6,--,--,P,P,P,P,P,--,--,--,X,R,X,X,X,,
MVIAX - Praxis Value Index A,Equity Large Cap,177.74,0.3,0.94,5.46,5.5,--,--,P,P,P,P,P,--,--,--,X,R,X,X,X,,
SEBFX - Saturna Sustainable Bond Fund,Bond (Fixed Inc),20.22,0.55,0.89,6.38,0,C *,C,C,C,C,C,C,--,C,C,X,C,C,X,X,Yes,
SEEFX - Saturna Sustainable Equity Fund,Int'l Global,4.65,0.65,0.99,15.99,0,C *,C,C,C,C,C,C,--,C,C,X,C,C,X,X,Yes,
MYPVX - Sentinel Sustainable Core Opportunities Fund (A Shares),Equity Large Cap,385.76,0.7,0.17,12.29,7.54,P,P,P,--,P,P,P,--,P,P,R,R,R,R,R,,Yes
CVALX - Sentinel Sustainable Core Opportunities Fund (I Shares),Equity Large Cap,385.76,0.7,0.91,12.49,7.84,P,P,P,P,P,P,P,--,P,P,R,R,R,R,R,,Yes
NEXTX - Shelton Green Alpha Fund,All Cap,40.32,1,1.31,22.75,2.89,C *,C,C,C,C,C,C,X,C,C,C,C,C,X,X,Yes,
TSBIX - TIAA-CREF Social Choice Bond Institutional,Bond (Fixed Inc),1434.57,0.35,0.4,4.32,3.48,P,P,P,P,P,P,P,X,P,P,R,--,R,R,R,Yes,Yes
TSBPX - TIAA-CREF Social Choice Bond Premier,Bond (Fixed Inc),1434.57,0.35,0.55,4.22,3.32,P,P,P,P,P,P,P,X,P,P,R,--,R,R,R,Yes,Yes
TSBRX - TIAA-CREF Social Choice Bond Retail,Bond (Fixed Inc),1434.57,0.35,0.68,4.14,3.16,P,P,P,P,P,P,P,X,P,P,R,--,R,R,R,Yes,Yes
TSBBX - TIAA-CREF Social Choice Bond Retirement,Bond (Fixed Inc),1434.57,0.35,0.65,4.15,3.19,P,P,P,P,P,P,P,X,P,P,R,--,R,R,R,Yes,Yes
TISCX - TIAA-CREF Social Choice Equity Institutional,Equity Specialty,2656.43,0.15,0.18,10.85,7.61,P,P,P,P,P,P,P,X,P,P,R,--,R,R,R,Yes,Yes
TRPSX - TIAA-CREF Social Choice Equity Premier,Equity Specialty,2656.43,0.15,0.32,10.76,7.46,P,P,P,P,P,P,P,X,P,P,R,--,R,R,R,Yes,Yes
TICRX - TIAA-CREF Social Choice Equity Retail,Equity Specialty,2656.43,0.15,0.44,10.6,7.34,P,P,P,P,P,P,P,X,P,P,R,--,R,R,R,Yes,Yes
TRSCX - TIAA-CREF Social Choice Equity Retirement,Equity Specialty,2656.43,0.15,0.43,10.69,7.35,P,P,P,P,P,P,P,X,P,P,R,--,R,R,R,Yes,Yes
TSMDX - Trillium Small/Mid Cap Mutual Fund,Equity Mid-Sm Cap,10.54,0.75,1,5.83,0,C,C,C,--,C,C,C,C,C,C,--,C,C,C,X,,Yes
BNIEX - UBS International Sustainable Equity Fund,Int'l Global,31.55,0.8,1.25,19.81,4.75,C,C,C,C,C,C,C,R,C,C,X,C,X,X,X,,Yes
WSBFX - Walden Asset Management Fund,Balanced,114.66,0.75,1,7.18,6.35,C,C,C,C,C,R,C,--,--,--,R,R,R,R,R,,Yes
WSEFX - Walden Equity Fund,Equity Large Cap,190.6,0.75,1,9.25,8.13,C,C,C,C,C,R,C,--,--,--,R,R,R,R,R,,Yes
WAMFX - Walden Midcap Fund,Equity Mid-Sm Cap,41.74,0.75,1,6.71,7.4,C,C,C,C,C,R,C,--,--,--,R,R,R,R,R,,Yes
WASOX - Walden Small Cap Innovations Fund,Equity Mid-Sm Cap,84.09,0.75,1,0.43,7.13,P,P,P,P,P,R,P,--,--,--,R,R,R,R,R,,Yes
WASMX - Walden SMID Cap Innovations Fund,Equity Mid-Sm Cap,42.87,0.75,1,4.38,7.87,P,P,P,P,P,R,P,--,--,--,R,C,R,R,R,,Yes
