Name,Fund Type,AUM (US$ millions),Mgmt Fee %,Exp Ratio %,YTD %,Avg % 3 yr,Climate/Clean Technology,Pollution/Toxics,Environment,Community Development,Diversity & EEO,Human Rights,Labor Relations,Sudan,Board Issues,Executive Pay,Alcohol,Animal Welfare,Defense/Weapons,Gambling,Tobacco,Other / Qualitative,Shareholder Engagement
CVMCX - Calvert Emerging Markets Equity Fund C,Int'l Global,271.45,1,2.02,34.03,5.72,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,
CVMIX - Calvert Emerging Markets Equity Fund I,Int'l Global,271.45,1,0.92,35.03,6.97,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,
CVMYX - Calvert Emerging Markets Equity Fund Y,Int'l Global,271.45,1,1.02,34.88,6.84,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,
CSIEX - Calvert Equity Portfolio A,Equity Large Cap,2122.29,0.62,1.07,15.55,8.84,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,Yes
CSECX - Calvert Equity Portfolio C,Equity Large Cap,2122.29,0.62,1.81,14.99,8.03,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,Yes
CEYIX - Calvert Equity Portfolio I,Equity Large Cap,2122.29,0,0.66,15.86,9.32,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,Yes
CIEYX - Calvert Equity Portfolio Y,Equity Large Cap,2122.29,0.62,0.77,15.79,9.17,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,Yes
CGAEX - Calvert Global Energy Solutions Fund A,Int'l Global,84.47,0.87,1.85,18.54,-2.9,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,Yes
CGACX - Calvert Global Energy Solutions Fund C,Int'l Global,84.47,0.87,2.85,17.87,-3.71,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,Yes
CAEIX - Calvert Global Energy Solutions Fund I,Int'l Global,84.47,0.87,1.4,18.79,-2.45,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,Yes
CGAYX - Calvert Global Energy Solutions Fund Y,Int'l Global,84.47,0.87,1.6,18.85,-2.62,C,C,C,C,C,C,C,--,C,--,R,R,R,R,R,,Yes
CFWAX - Calvert Global Water Fund A,Int'l Global,443.54,0.84,1.28,10.03,0.19,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,Yes
CFWCX - Calvert Global Water Fund C,Int'l Global,443.54,0.84,2.03,9.51,-0.53,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,Yes
CFWIX - Calvert Global Water Fund I,Int'l Global,443.54,0.99,1.29,10.33,0.63,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,Yes
CFWYX - Calvert Global Water Fund Y,Int'l Global,443.54,0.84,1.03,10.24,0.49,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,Yes
CGAFX - Calvert Green Bond Fund A,Bond (Fixed Inc),94.93,0.42,0.88,3.4,2.54,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,
CGBIX - Calvert Green Bond Fund I,Bond (Fixed Inc),94.93,0.42,0.5,3.65,2.99,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,
CGYFX - Calvert Green Bond Fund Y,Bond (Fixed Inc),94.93,0.42,0.63,3.56,2.81,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,
CYBAX - Calvert High Yield Bond Fund A,Bond (Fixed Inc),184.48,0.6,1.07,4.5,2.61,C,C,C,C,C,C,C,C,C,C,R,R,R,R,R,,
CHBCX - Calvert High Yield Bond Fund C,Bond (Fixed Inc),184.48,0.6,2.07,3.96,1.73,C,C,C,C,C,--,C,--,C,C,R,R,R,R,R,,
CYBIX - Calvert High Yield Bond Fund I,Bond (Fixed Inc),184.48,0.6,0.74,4.69,2.95,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,
CYBYX - Calvert High Yield Bond Fund Y,Bond (Fixed Inc),184.48,0.6,0.82,4.65,2.87,C,C,C,C,C,C,C,--,C,C,R,--,R,R,R,,
CFICX - Calvert Income Fund A,Bond (Fixed Inc),521.79,0.52,1.24,5.58,2.96,C,C,C,C,C,C,C,C,C,C,R,R,R,R,R,,
CIFCX - Calvert Income Fund C,Bond (Fixed Inc),521.79,0.52,1.93,5.01,2.2,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,
CINCX - Calvert Income Fund I,Bond (Fixed Inc),521.79,0.52,0.64,5.91,3.48,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,
CICRX - Calvert Income Fund R,Bond (Fixed Inc),521.79,0.52,1.47,5.24,2.58,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,
CIFYX - Calvert Income Fund Y,Bond (Fixed Inc),521.79,0.52,0.91,5.8,3.27,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,
CWVGX - Calvert International Equity Fund A,Int'l Global,231.28,0.86,1.34,14.06,0.8,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,Yes
CWVCX - Calvert International Equity Fund C,Int'l Global,231.28,0.86,2.09,13.54,0.02,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,Yes
CWVIX - Calvert International Equity Fund I,Int'l Global,231.28,0.86,0.96,14.38,1.27,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,Yes
CWEYX - Calvert International Equity Fund Y,Int'l Global,231.28,0.86,1.09,14.31,1.09,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,Yes
COIIX - Calvert International Opportunities Fund A,Int'l Global,209.65,0.87,1.16,26.44,6.6,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,Yes
COICX - Calvert International Opportunities Fund C,Int'l Global,209.65,0.87,2.26,25.39,5.22,C,C,C,C,C,C,C,--,C,C,R,R,R,C,R,,Yes
