Name,Fund Type,Avg % 3 yr,Climate/Clean Technology,Pollution/Toxics,Environment,Community Development,Diversity & EEO,Human Rights,Labor Relations,Sudan,Board Issues,Executive Pay,Alcohol,Animal Welfare,Defense/Weapons,Gambling,Tobacco
CFWCX - Calvert Global Water Fund C,Int'l Global,-0.53,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CFWIX - Calvert Global Water Fund I,Int'l Global,0.63,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CFWYX - Calvert Global Water Fund Y,Int'l Global,0.49,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CGAFX - Calvert Green Bond Fund A,Bond (Fixed Inc),2.54,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CGBIX - Calvert Green Bond Fund I,Bond (Fixed Inc),2.99,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CGYFX - Calvert Green Bond Fund Y,Bond (Fixed Inc),2.81,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CYBAX - Calvert High Yield Bond Fund A,Bond (Fixed Inc),2.61,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5
CHBCX - Calvert High Yield Bond Fund C,Bond (Fixed Inc),1.73,7,7,7,7,7,1,7,1,7,7,5,5,5,5,5
CYBIX - Calvert High Yield Bond Fund I,Bond (Fixed Inc),2.95,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CYBYX - Calvert High Yield Bond Fund Y,Bond (Fixed Inc),2.87,7,7,7,7,7,7,7,1,7,7,5,1,5,5,5
CFICX - Calvert Income Fund A,Bond (Fixed Inc),2.96,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5
CIFCX - Calvert Income Fund C,Bond (Fixed Inc),2.2,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CINCX - Calvert Income Fund I,Bond (Fixed Inc),3.48,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CICRX - Calvert Income Fund R,Bond (Fixed Inc),2.58,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CIFYX - Calvert Income Fund Y,Bond (Fixed Inc),3.27,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CWVGX - Calvert International Equity Fund A,Int'l Global,0.8,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CWVCX - Calvert International Equity Fund C,Int'l Global,0.02,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CWVIX - Calvert International Equity Fund I,Int'l Global,1.27,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CWEYX - Calvert International Equity Fund Y,Int'l Global,1.09,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
COIIX - Calvert International Opportunities Fund A,Int'l Global,6.6,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
COICX - Calvert International Opportunities Fund C,Int'l Global,5.22,7,7,7,7,7,7,7,1,7,7,5,5,5,7,5
CWVYX - Calvert International Opportunities Fund Y,Int'l Global,6.43,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CLDAX - Calvert Long-Term Income Fund A,Bond (Fixed Inc),4.07,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CLDIX - Calvert Long-Term Income Fund I,Bond (Fixed Inc),0,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CMAAX - Calvert Moderate Allocation Fund A,Equity Specialty,5.59,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CMACX - Calvert Moderate Allocation Fund C,Equity Specialty,4.8,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CSDAX - Calvert Short Duration Income Fund A,Bond (Fixed Inc),1.58,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
CDICX - Calvert Short Duration Income Fund C,Bond (Fixed Inc),0.82,7,7,7,7,7,7,7,1,7,7,5,5,5,5,5
