Fund Type,Name,Climate/Clean Technology,Pollution/Toxics,Environment,Community Development,Diversity & EEO,Human Rights,Labor Relations,Sudan,Board Issues,Executive Pay,Alcohol,Animal Welfare,Defense/Weapons,Gambling,Tobacco
Bond (Fixed Inc),CGBIX - Calvert Green Bond Fund I,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Bond (Fixed Inc),CGYFX - Calvert Green Bond Fund Y,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Bond (Fixed Inc),CYBAX - Calvert High Yield Bond Fund A,C,C,C,C,C,C,C,C,C,C,R,R,R,R,R
Bond (Fixed Inc),CHBCX - Calvert High Yield Bond Fund C,C,C,C,C,C,--,C,--,C,C,R,R,R,R,R
Bond (Fixed Inc),CYBIX - Calvert High Yield Bond Fund I,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Bond (Fixed Inc),CYBYX - Calvert High Yield Bond Fund Y,C,C,C,C,C,C,C,--,C,C,R,--,R,R,R
Bond (Fixed Inc),CFICX - Calvert Income Fund A,C,C,C,C,C,C,C,C,C,C,R,R,R,R,R
Bond (Fixed Inc),CIFCX - Calvert Income Fund C,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Bond (Fixed Inc),CINCX - Calvert Income Fund I,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Bond (Fixed Inc),CICRX - Calvert Income Fund R,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Bond (Fixed Inc),CIFYX - Calvert Income Fund Y,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Int'l Global,CWVGX - Calvert International Equity Fund A,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Int'l Global,CWVCX - Calvert International Equity Fund C,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Int'l Global,CWVIX - Calvert International Equity Fund I,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Int'l Global,CWEYX - Calvert International Equity Fund Y,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Int'l Global,COIIX - Calvert International Opportunities Fund A,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Int'l Global,COICX - Calvert International Opportunities Fund C,C,C,C,C,C,C,C,--,C,C,R,R,R,C,R
Int'l Global,CWVYX - Calvert International Opportunities Fund Y,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Bond (Fixed Inc),CLDAX - Calvert Long-Term Income Fund A,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Bond (Fixed Inc),CLDIX - Calvert Long-Term Income Fund I,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Equity Specialty,CMAAX - Calvert Moderate Allocation Fund A,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Equity Specialty,CMACX - Calvert Moderate Allocation Fund C,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Bond (Fixed Inc),CSDAX - Calvert Short Duration Income Fund A,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Bond (Fixed Inc),CDICX - Calvert Short Duration Income Fund C,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Bond (Fixed Inc),CDSIX - Calvert Short Duration Income Fund I,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Bond (Fixed Inc),CSDYX - Calvert Short Duration Income Fund Y,C,C,C,C,C,C,C,X,C,C,R,R,R,R,R
Equity Mid-sm Cap,CCVAX - Calvert Small Cap Fund A,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Equity Mid-sm Cap,CSCCX - Calvert Small Cap Fund C,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Equity Mid-sm Cap,CSVIX - Calvert Small Cap Fund I,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Equity Mid-sm Cap,CSCYX - Calvert Small Cap Fund Y,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Bond (Fixed Inc),CTTLX - Calvert Tax-Free Bond Fund A,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Bond (Fixed Inc),CTTCX - Calvert Tax-Free Bond Fund C,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Bond (Fixed Inc),CTTIX - Calvert Tax-Free Bond Fund I,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Bond (Fixed Inc),CTTYX - Calvert Tax-Free Bond Fund Y,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Equity Large Cap,CSXAX - Calvert U.S. Large Cap Core Responsible Index Fund A,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Equity Large Cap,CSXCX - Calvert U.S. Large Cap Core Responsible Index Fund C,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Equity Large Cap,CISIX - Calvert U.S. Large Cap Core Responsible Index Fund I,C,C,C,C,C,C,C,C,C,C,R,R,R,R,R
Equity Large Cap,CISYX - Calvert U.S. Large Cap Core Responsible Index Fund Y,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Equity Large Cap,CGJAX - Calvert U.S. Large Cap Growth Responsible Index Fund A,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Equity Large Cap,CGJCX - Calvert U.S. Large Cap Growth Responsible Index Fund C,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Equity Large Cap,CGJIX - Calvert U.S. Large Cap Growth Responsible Index Fund I,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Equity Large Cap,CGJYX - Calvert U.S. Large Cap Growth Responsible Index Fund Y,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Equity Large Cap,CFJAX - Calvert U.S. Large Cap Value Responsible Index Fund A,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Equity Large Cap,CFJCX - Calvert U.S. Large Cap Value Responsible Index Fund C,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Equity Large Cap,CFJIX - Calvert U.S. Large Cap Value Responsible Index Fund I,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Equity Large Cap,CFJYX - Calvert U.S. Large Cap Value Responsible Index Fund Y,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Bond (Fixed Inc),CULAX - Calvert Ultra-Short Income Fund A,C,C,C,C,C,C,C,C,C,C,R,R,R,R,R
Bond (Fixed Inc),CULIX - Calvert Ultra-Short Income Fund I,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Bond (Fixed Inc),CULYX - Calvert Ultra-Short Income Fund Y,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Bond (Fixed Inc),CUBAX - Calvert Unconstrained Bond Fund A,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Bond (Fixed Inc),CUBCX - Calvert Unconstrained Bond Fund C,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Bond (Fixed Inc),CUBIX - Calvert Unconstrained Bond Fund I,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Bond (Fixed Inc),CUBYX - Calvert Unconstrained Bond Fund Y,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R
Balanced,CCMNX - CCM Alternative Income Fund,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
All Cap,LCILX - ClearBridge Sustainability Leaders Fund (IS shares),P,C,P,P,P,P,C,R,P,--,R,P,R,R,R
Bond (Fixed Inc),CRAIX - CRA Qualified Investment - CRA,P *,P,P,P,P,--,--,--,--,--,R,R,R,R,R
Bond (Fixed Inc),CRANX - CRA Qualified Investment - Institutional,P *,P,P,P,P,--,--,--,--,--,X,X,X,X,X
Bond (Fixed Inc),CRATX - CRA Qualified Investment - Retail,P *,P,P,P,P,--,--,--,--,--,X,X,X,X,X
Int'l Global,DOMAX - Domini International Social Equity Fund -- A shares,C,C,C,C,C,C,C,R,C,C,X,R,X,X,X
Int'l Global,DOMOX - Domini International Social Equity Fund -- Institutional shares,C,C,C,C,C,C,C,R,C,C,X,R,X,X,X
Int'l Global,DOMIX - Domini International Social Equity Fund -- Investor shares,C,C,C,C,C,C,C,R,C,C,X,R,X,X,X
Bond (Fixed Inc),DSBFX - Domini Social Bond Fund - Investor shares,C,C,C,C,C,C,C,R,C,C,X,R,X,X,X
Bond (Fixed Inc),DSBIX - Domini Social Bond Fund -- Institutional shares,C *,C,C,C,C,C,C,R,C,C,X,R,X,X,X
Equity Large Cap,DSEPX - Domini Social Equity Fund -- A shares,C,C,C,C,C,C,C,R,C,C,X,R,X,X,X
Bond (Fixed Inc),DIEQX - Domini Social Equity Fund -- Institutional shares,C,C,C,C,C,C,C,R,C,C,X,R,X,X,X
