"Name","Fund Type","Attribute Type","Attribute","Rating","NumCompanies","Avg % Return 3 yr"
"CLDAX - Calvert Long-Term Income Fund A","Bond (Fixed Inc)","Environmental","Environment","C",1,4.07
"CLDAX - Calvert Long-Term Income Fund A","Bond (Fixed Inc)","Environmental","Pollution/Toxics","C",1,4.07
"CLDAX - Calvert Long-Term Income Fund A","Bond (Fixed Inc)","Governance","Board Issues","C",1,4.07
"CLDAX - Calvert Long-Term Income Fund A","Bond (Fixed Inc)","Governance","Executive Pay","C",1,4.07
"CLDAX - Calvert Long-Term Income Fund A","Bond (Fixed Inc)","Products","Alcohol","R",1,4.07
"CLDAX - Calvert Long-Term Income Fund A","Bond (Fixed Inc)","Products","Animal Welfare","R",1,4.07
"CLDAX - Calvert Long-Term Income Fund A","Bond (Fixed Inc)","Products","Defense/Weapons","R",1,4.07
"CLDAX - Calvert Long-Term Income Fund A","Bond (Fixed Inc)","Products","Gambling","R",1,4.07
"CLDAX - Calvert Long-Term Income Fund A","Bond (Fixed Inc)","Products","Tobacco","R",1,4.07
"CLDAX - Calvert Long-Term Income Fund A","Bond (Fixed Inc)","Social","Community Development","C",1,4.07
"CLDAX - Calvert Long-Term Income Fund A","Bond (Fixed Inc)","Social","Diversity & EEO","C",1,4.07
"CLDAX - Calvert Long-Term Income Fund A","Bond (Fixed Inc)","Social","Human Rights","C",1,4.07
"CLDAX - Calvert Long-Term Income Fund A","Bond (Fixed Inc)","Social","Labor Relations","C",1,4.07
"CLDAX - Calvert Long-Term Income Fund A","Bond (Fixed Inc)","Social","Sudan","--",1,4.07
"CLDIX - Calvert Long-Term Income Fund I","Bond (Fixed Inc)","Environmental","Climate/Clean Technology","C",1,0.00
"CLDIX - Calvert Long-Term Income Fund I","Bond (Fixed Inc)","Environmental","Environment","C",1,0.00
"CLDIX - Calvert Long-Term Income Fund I","Bond (Fixed Inc)","Environmental","Pollution/Toxics","C",1,0.00
"CLDIX - Calvert Long-Term Income Fund I","Bond (Fixed Inc)","Governance","Board Issues","C",1,0.00
"CLDIX - Calvert Long-Term Income Fund I","Bond (Fixed Inc)","Governance","Executive Pay","C",1,0.00
"CLDIX - Calvert Long-Term Income Fund I","Bond (Fixed Inc)","Products","Alcohol","R",1,0.00
"CLDIX - Calvert Long-Term Income Fund I","Bond (Fixed Inc)","Products","Animal Welfare","R",1,0.00
"CLDIX - Calvert Long-Term Income Fund I","Bond (Fixed Inc)","Products","Defense/Weapons","R",1,0.00
"CLDIX - Calvert Long-Term Income Fund I","Bond (Fixed Inc)","Products","Gambling","R",1,0.00
"CLDIX - Calvert Long-Term Income Fund I","Bond (Fixed Inc)","Products","Tobacco","R",1,0.00
"CLDIX - Calvert Long-Term Income Fund I","Bond (Fixed Inc)","Social","Community Development","C",1,0.00
"CLDIX - Calvert Long-Term Income Fund I","Bond (Fixed Inc)","Social","Diversity & EEO","C",1,0.00
"CLDIX - Calvert Long-Term Income Fund I","Bond (Fixed Inc)","Social","Human Rights","C",1,0.00
"CLDIX - Calvert Long-Term Income Fund I","Bond (Fixed Inc)","Social","Labor Relations","C",1,0.00
"CLDIX - Calvert Long-Term Income Fund I","Bond (Fixed Inc)","Social","Sudan","--",1,0.00
"CMAAX - Calvert Moderate Allocation Fund A","Equity Specialty","Environmental","Climate/Clean Technology","C",1,5.59
"CMAAX - Calvert Moderate Allocation Fund A","Equity Specialty","Environmental","Environment","C",1,5.59
"CMAAX - Calvert Moderate Allocation Fund A","Equity Specialty","Environmental","Pollution/Toxics","C",1,5.59
"CMAAX - Calvert Moderate Allocation Fund A","Equity Specialty","Governance","Board Issues","C",1,5.59
"CMAAX - Calvert Moderate Allocation Fund A","Equity Specialty","Governance","Executive Pay","C",1,5.59
"CMAAX - Calvert Moderate Allocation Fund A","Equity Specialty","Products","Alcohol","R",1,5.59
"CMAAX - Calvert Moderate Allocation Fund A","Equity Specialty","Products","Animal Welfare","R",1,5.59
"CMAAX - Calvert Moderate Allocation Fund A","Equity Specialty","Products","Defense/Weapons","R",1,5.59
"CMAAX - Calvert Moderate Allocation Fund A","Equity Specialty","Products","Gambling","R",1,5.59
"CMAAX - Calvert Moderate Allocation Fund A","Equity Specialty","Products","Tobacco","R",1,5.59
"CMAAX - Calvert Moderate Allocation Fund A","Equity Specialty","Social","Community Development","C",1,5.59
"CMAAX - Calvert Moderate Allocation Fund A","Equity Specialty","Social","Diversity & EEO","C",1,5.59
"CMAAX - Calvert Moderate Allocation Fund A","Equity Specialty","Social","Human Rights","C",1,5.59
"CMAAX - Calvert Moderate Allocation Fund A","Equity Specialty","Social","Labor Relations","C",1,5.59
"CMAAX - Calvert Moderate Allocation Fund A","Equity Specialty","Social","Sudan","--",1,5.59
"CMACX - Calvert Moderate Allocation Fund C","Equity Specialty","Environmental","Climate/Clean Technology","C",1,4.80
"CMACX - Calvert Moderate Allocation Fund C","Equity Specialty","Environmental","Environment","C",1,4.80
"CMACX - Calvert Moderate Allocation Fund C","Equity Specialty","Environmental","Pollution/Toxics","C",1,4.80
"CMACX - Calvert Moderate Allocation Fund C","Equity Specialty","Governance","Board Issues","C",1,4.80
"CMACX - Calvert Moderate Allocation Fund C","Equity Specialty","Governance","Executive Pay","C",1,4.80
"CMACX - Calvert Moderate Allocation Fund C","Equity Specialty","Products","Alcohol","R",1,4.80
"CMACX - Calvert Moderate Allocation Fund C","Equity Specialty","Products","Animal Welfare","R",1,4.80
"CMACX - Calvert Moderate Allocation Fund C","Equity Specialty","Products","Defense/Weapons","R",1,4.80
"CMACX - Calvert Moderate Allocation Fund C","Equity Specialty","Products","Gambling","R",1,4.80
"CMACX - Calvert Moderate Allocation Fund C","Equity Specialty","Products","Tobacco","R",1,4.80
"CMACX - Calvert Moderate Allocation Fund C","Equity Specialty","Social","Community Development","C",1,4.80
"CMACX - Calvert Moderate Allocation Fund C","Equity Specialty","Social","Diversity & EEO","C",1,4.80
"CMACX - Calvert Moderate Allocation Fund C","Equity Specialty","Social","Human Rights","C",1,4.80
"CMACX - Calvert Moderate Allocation Fund C","Equity Specialty","Social","Labor Relations","C",1,4.80
"CMACX - Calvert Moderate Allocation Fund C","Equity Specialty","Social","Sudan","--",1,4.80
"COICX - Calvert International Opportunities Fund C","Int'l Global","Environmental","Climate/Clean Technology","C",1,5.22
"COICX - Calvert International Opportunities Fund C","Int'l Global","Environmental","Environment","C",1,5.22
"COICX - Calvert International Opportunities Fund C","Int'l Global","Environmental","Pollution/Toxics","C",1,5.22
"COICX - Calvert International Opportunities Fund C","Int'l Global","Governance","Board Issues","C",1,5.22
"COICX - Calvert International Opportunities Fund C","Int'l Global","Governance","Executive Pay","C",1,5.22
"COICX - Calvert International Opportunities Fund C","Int'l Global","Products","Alcohol","R",1,5.22
"COICX - Calvert International Opportunities Fund C","Int'l Global","Products","Animal Welfare","R",1,5.22
"COICX - Calvert International Opportunities Fund C","Int'l Global","Products","Defense/Weapons","R",1,5.22
"COICX - Calvert International Opportunities Fund C","Int'l Global","Products","Gambling","C",1,5.22
"COICX - Calvert International Opportunities Fund C","Int'l Global","Products","Tobacco","R",1,5.22
"COICX - Calvert International Opportunities Fund C","Int'l Global","Social","Community Development","C",1,5.22
"COICX - Calvert International Opportunities Fund C","Int'l Global","Social","Diversity & EEO","C",1,5.22
"COICX - Calvert International Opportunities Fund C","Int'l Global","Social","Human Rights","C",1,5.22
"COICX - Calvert International Opportunities Fund C","Int'l Global","Social","Labor Relations","C",1,5.22
"COICX - Calvert International Opportunities Fund C","Int'l Global","Social","Sudan","--",1,5.22
"COIIX - Calvert International Opportunities Fund A","Int'l Global","Environmental","Climate/Clean Technology","C",1,6.60
"COIIX - Calvert International Opportunities Fund A","Int'l Global","Environmental","Environment","C",1,6.60
"COIIX - Calvert International Opportunities Fund A","Int'l Global","Environmental","Pollution/Toxics","C",1,6.60
"COIIX - Calvert International Opportunities Fund A","Int'l Global","Governance","Board Issues","C",1,6.60
"COIIX - Calvert International Opportunities Fund A","Int'l Global","Governance","Executive Pay","C",1,6.60
"COIIX - Calvert International Opportunities Fund A","Int'l Global","Products","Alcohol","R",1,6.60
"COIIX - Calvert International Opportunities Fund A","Int'l Global","Products","Animal Welfare","R",1,6.60
"COIIX - Calvert International Opportunities Fund A","Int'l Global","Products","Defense/Weapons","R",1,6.60
"COIIX - Calvert International Opportunities Fund A","Int'l Global","Products","Gambling","R",1,6.60
"COIIX - Calvert International Opportunities Fund A","Int'l Global","Products","Tobacco","R",1,6.60
"COIIX - Calvert International Opportunities Fund A","Int'l Global","Social","Community Development","C",1,6.60
"COIIX - Calvert International Opportunities Fund A","Int'l Global","Social","Diversity & EEO","C",1,6.60
"COIIX - Calvert International Opportunities Fund A","Int'l Global","Social","Human Rights","C",1,6.60
"COIIX - Calvert International Opportunities Fund A","Int'l Global","Social","Labor Relations","C",1,6.60
"COIIX - Calvert International Opportunities Fund A","Int'l Global","Social","Sudan","--",1,6.60
"CRAIX - CRA Qualified Investment - CRA","Bond (Fixed Inc)","Environmental","Climate/Clean Technology","P *",1,1.99
"CRAIX - CRA Qualified Investment - CRA","Bond (Fixed Inc)","Environmental","Environment","P",1,1.99
"CRAIX - CRA Qualified Investment - CRA","Bond (Fixed Inc)","Environmental","Pollution/Toxics","P",1,1.99
"CRAIX - CRA Qualified Investment - CRA","Bond (Fixed Inc)","Governance","Board Issues","--",1,1.99
"CRAIX - CRA Qualified Investment - CRA","Bond (Fixed Inc)","Governance","Executive Pay","--",1,1.99
"CRAIX - CRA Qualified Investment - CRA","Bond (Fixed Inc)","Products","Alcohol","R",1,1.99
"CRAIX - CRA Qualified Investment - CRA","Bond (Fixed Inc)","Products","Animal Welfare","R",1,1.99
"CRAIX - CRA Qualified Investment - CRA","Bond (Fixed Inc)","Products","Defense/Weapons","R",1,1.99
"CRAIX - CRA Qualified Investment - CRA","Bond (Fixed Inc)","Products","Gambling","R",1,1.99
"CRAIX - CRA Qualified Investment - CRA","Bond (Fixed Inc)","Products","Tobacco","R",1,1.99
"CRAIX - CRA Qualified Investment - CRA","Bond (Fixed Inc)","Social","Community Development","P",1,1.99
"CRAIX - CRA Qualified Investment - CRA","Bond (Fixed Inc)","Social","Diversity & EEO","P",1,1.99
"CRAIX - CRA Qualified Investment - CRA","Bond (Fixed Inc)","Social","Human Rights","--",1,1.99
"CRAIX - CRA Qualified Investment - CRA","Bond (Fixed Inc)","Social","Labor Relations","--",1,1.99
"CRAIX - CRA Qualified Investment - CRA","Bond (Fixed Inc)","Social","Sudan","--",1,1.99
"CRANX - CRA Qualified Investment - Institutional","Bond (Fixed Inc)","Environmental","Climate/Clean Technology","P *",1,2.45
"CRANX - CRA Qualified Investment - Institutional","Bond (Fixed Inc)","Environmental","Environment","P",1,2.45
"CRANX - CRA Qualified Investment - Institutional","Bond (Fixed Inc)","Environmental","Pollution/Toxics","P",1,2.45
"CRANX - CRA Qualified Investment - Institutional","Bond (Fixed Inc)","Governance","Board Issues","--",1,2.45
"CRANX - CRA Qualified Investment - Institutional","Bond (Fixed Inc)","Governance","Executive Pay","--",1,2.45
"CRANX - CRA Qualified Investment - Institutional","Bond (Fixed Inc)","Products","Alcohol","X",1,2.45
"CRANX - CRA Qualified Investment - Institutional","Bond (Fixed Inc)","Products","Animal Welfare","X",1,2.45
"CRANX - CRA Qualified Investment - Institutional","Bond (Fixed Inc)","Products","Defense/Weapons","X",1,2.45
"CRANX - CRA Qualified Investment - Institutional","Bond (Fixed Inc)","Products","Gambling","X",1,2.45
"CRANX - CRA Qualified Investment - Institutional","Bond (Fixed Inc)","Products","Tobacco","X",1,2.45
"CRANX - CRA Qualified Investment - Institutional","Bond (Fixed Inc)","Social","Community Development","P",1,2.45
"CRANX - CRA Qualified Investment - Institutional","Bond (Fixed Inc)","Social","Diversity & EEO","P",1,2.45
"CRANX - CRA Qualified Investment - Institutional","Bond (Fixed Inc)","Social","Human Rights","--",1,2.45
"CRANX - CRA Qualified Investment - Institutional","Bond (Fixed Inc)","Social","Labor Relations","--",1,2.45
"CRANX - CRA Qualified Investment - Institutional","Bond (Fixed Inc)","Social","Sudan","--",1,2.45
"CRATX - CRA Qualified Investment - Retail","Bond (Fixed Inc)","Environmental","Climate/Clean Technology","P *",1,2.17
"CRATX - CRA Qualified Investment - Retail","Bond (Fixed Inc)","Environmental","Environment","P",1,2.17
"CRATX - CRA Qualified Investment - Retail","Bond (Fixed Inc)","Environmental","Pollution/Toxics","P",1,2.17
"CRATX - CRA Qualified Investment - Retail","Bond (Fixed Inc)","Governance","Board Issues","--",1,2.17
"CRATX - CRA Qualified Investment - Retail","Bond (Fixed Inc)","Governance","Executive Pay","--",1,2.17
"CRATX - CRA Qualified Investment - Retail","Bond (Fixed Inc)","Products","Alcohol","X",1,2.17
"CRATX - CRA Qualified Investment - Retail","Bond (Fixed Inc)","Products","Animal Welfare","X",1,2.17
"CRATX - CRA Qualified Investment - Retail","Bond (Fixed Inc)","Products","Defense/Weapons","X",1,2.17
"CRATX - CRA Qualified Investment - Retail","Bond (Fixed Inc)","Products","Gambling","X",1,2.17
"CRATX - CRA Qualified Investment - Retail","Bond (Fixed Inc)","Products","Tobacco","X",1,2.17
"CRATX - CRA Qualified Investment - Retail","Bond (Fixed Inc)","Social","Community Development","P",1,2.17
"CRATX - CRA Qualified Investment - Retail","Bond (Fixed Inc)","Social","Diversity & EEO","P",1,2.17
"CRATX - CRA Qualified Investment - Retail","Bond (Fixed Inc)","Social","Human Rights","--",1,2.17
"CRATX - CRA Qualified Investment - Retail","Bond (Fixed Inc)","Social","Labor Relations","--",1,2.17
"CRATX - CRA Qualified Investment - Retail","Bond (Fixed Inc)","Social","Sudan","--",1,2.17
"CSBCX - Calvert Bond Portfolio C","Bond (Fixed Inc)","Environmental","Climate/Clean Technology","C",1,1.83
"CSBCX - Calvert Bond Portfolio C","Bond (Fixed Inc)","Environmental","Environment","C",1,1.83
"CSBCX - Calvert Bond Portfolio C","Bond (Fixed Inc)","Environmental","Pollution/Toxics","C",1,1.83
"CSBCX - Calvert Bond Portfolio C","Bond (Fixed Inc)","Governance","Board Issues","C",1,1.83
"CSBCX - Calvert Bond Portfolio C","Bond (Fixed Inc)","Governance","Executive Pay","C",1,1.83
"CSBCX - Calvert Bond Portfolio C","Bond (Fixed Inc)","Products","Alcohol","C",1,1.83
"CSBCX - Calvert Bond Portfolio C","Bond (Fixed Inc)","Products","Animal Welfare","--",1,1.83
"CSBCX - Calvert Bond Portfolio C","Bond (Fixed Inc)","Products","Defense/Weapons","C",1,1.83
"CSBCX - Calvert Bond Portfolio C","Bond (Fixed Inc)","Products","Gambling","R",1,1.83
"CSBCX - Calvert Bond Portfolio C","Bond (Fixed Inc)","Products","Tobacco","R",1,1.83
"CSBCX - Calvert Bond Portfolio C","Bond (Fixed Inc)","Social","Community Development","P",1,1.83
"CSBCX - Calvert Bond Portfolio C","Bond (Fixed Inc)","Social","Diversity & EEO","C",1,1.83
"CSBCX - Calvert Bond Portfolio C","Bond (Fixed Inc)","Social","Human Rights","C",1,1.83
"CSBCX - Calvert Bond Portfolio C","Bond (Fixed Inc)","Social","Labor Relations","C",1,1.83
"CSBCX - Calvert Bond Portfolio C","Bond (Fixed Inc)","Social","Sudan","X",1,1.83
"CSCCX - Calvert Small Cap Fund C","Equity Mid-sm Cap","Environmental","Climate/Clean Technology","C",1,7.90
"CSCCX - Calvert Small Cap Fund C","Equity Mid-sm Cap","Environmental","Environment","C",1,7.90
"CSCCX - Calvert Small Cap Fund C","Equity Mid-sm Cap","Environmental","Pollution/Toxics","C",1,7.90
"CSCCX - Calvert Small Cap Fund C","Equity Mid-sm Cap","Governance","Board Issues","C",1,7.90
"CSCCX - Calvert Small Cap Fund C","Equity Mid-sm Cap","Governance","Executive Pay","C",1,7.90
"CSCCX - Calvert Small Cap Fund C","Equity Mid-sm Cap","Products","Alcohol","R",1,7.90
"CSCCX - Calvert Small Cap Fund C","Equity Mid-sm Cap","Products","Animal Welfare","R",1,7.90
"CSCCX - Calvert Small Cap Fund C","Equity Mid-sm Cap","Products","Defense/Weapons","R",1,7.90
"CSCCX - Calvert Small Cap Fund C","Equity Mid-sm Cap","Products","Gambling","R",1,7.90
"CSCCX - Calvert Small Cap Fund C","Equity Mid-sm Cap","Products","Tobacco","R",1,7.90
"CSCCX - Calvert Small Cap Fund C","Equity Mid-sm Cap","Social","Community Development","C",1,7.90
"CSCCX - Calvert Small Cap Fund C","Equity Mid-sm Cap","Social","Diversity & EEO","C",1,7.90
"CSCCX - Calvert Small Cap Fund C","Equity Mid-sm Cap","Social","Human Rights","C",1,7.90
"CSCCX - Calvert Small Cap Fund C","Equity Mid-sm Cap","Social","Labor Relations","C",1,7.90
"CSCCX - Calvert Small Cap Fund C","Equity Mid-sm Cap","Social","Sudan","--",1,7.90
"CSCYX - Calvert Small Cap Fund Y","Equity Mid-sm Cap","Environmental","Climate/Clean Technology","C",1,9.03
"CSCYX - Calvert Small Cap Fund Y","Equity Mid-sm Cap","Environmental","Environment","C",1,9.03
"CSCYX - Calvert Small Cap Fund Y","Equity Mid-sm Cap","Environmental","Pollution/Toxics","C",1,9.03
"CSCYX - Calvert Small Cap Fund Y","Equity Mid-sm Cap","Governance","Board Issues","C",1,9.03
"CSCYX - Calvert Small Cap Fund Y","Equity Mid-sm Cap","Governance","Executive Pay","C",1,9.03
"CSCYX - Calvert Small Cap Fund Y","Equity Mid-sm Cap","Products","Alcohol","R",1,9.03
"CSCYX - Calvert Small Cap Fund Y","Equity Mid-sm Cap","Products","Animal Welfare","R",1,9.03
"CSCYX - Calvert Small Cap Fund Y","Equity Mid-sm Cap","Products","Defense/Weapons","R",1,9.03
"CSCYX - Calvert Small Cap Fund Y","Equity Mid-sm Cap","Products","Gambling","R",1,9.03
"CSCYX - Calvert Small Cap Fund Y","Equity Mid-sm Cap","Products","Tobacco","R",1,9.03
"CSCYX - Calvert Small Cap Fund Y","Equity Mid-sm Cap","Social","Community Development","C",1,9.03
"CSCYX - Calvert Small Cap Fund Y","Equity Mid-sm Cap","Social","Diversity & EEO","C",1,9.03
"CSCYX - Calvert Small Cap Fund Y","Equity Mid-sm Cap","Social","Human Rights","C",1,9.03
"CSCYX - Calvert Small Cap Fund Y","Equity Mid-sm Cap","Social","Labor Relations","C",1,9.03
"CSCYX - Calvert Small Cap Fund Y","Equity Mid-sm Cap","Social","Sudan","--",1,9.03
"CSDAX - Calvert Short Duration Income Fund A","Bond (Fixed Inc)","Environmental","Climate/Clean Technology","C",1,1.58
"CSDAX - Calvert Short Duration Income Fund A","Bond (Fixed Inc)","Environmental","Environment","C",1,1.58
"CSDAX - Calvert Short Duration Income Fund A","Bond (Fixed Inc)","Environmental","Pollution/Toxics","C",1,1.58
"CSDAX - Calvert Short Duration Income Fund A","Bond (Fixed Inc)","Governance","Board Issues","C",1,1.58
"CSDAX - Calvert Short Duration Income Fund A","Bond (Fixed Inc)","Governance","Executive Pay","C",1,1.58
"CSDAX - Calvert Short Duration Income Fund A","Bond (Fixed Inc)","Products","Alcohol","R",1,1.58
"CSDAX - Calvert Short Duration Income Fund A","Bond (Fixed Inc)","Products","Animal Welfare","R",1,1.58
"CSDAX - Calvert Short Duration Income Fund A","Bond (Fixed Inc)","Products","Defense/Weapons","R",1,1.58
"CSDAX - Calvert Short Duration Income Fund A","Bond (Fixed Inc)","Products","Gambling","R",1,1.58
"CSDAX - Calvert Short Duration Income Fund A","Bond (Fixed Inc)","Products","Tobacco","R",1,1.58
"CSDAX - Calvert Short Duration Income Fund A","Bond (Fixed Inc)","Social","Community Development","C",1,1.58
"CSDAX - Calvert Short Duration Income Fund A","Bond (Fixed Inc)","Social","Diversity & EEO","C",1,1.58
"CSDAX - Calvert Short Duration Income Fund A","Bond (Fixed Inc)","Social","Human Rights","C",1,1.58
"CSDAX - Calvert Short Duration Income Fund A","Bond (Fixed Inc)","Social","Labor Relations","C",1,1.58
"CSDAX - Calvert Short Duration Income Fund A","Bond (Fixed Inc)","Social","Sudan","--",1,1.58
"CSDYX - Calvert Short Duration Income Fund Y","Bond (Fixed Inc)","Environmental","Climate/Clean Technology","C",1,1.88
"CSDYX - Calvert Short Duration Income Fund Y","Bond (Fixed Inc)","Environmental","Environment","C",1,1.88
"CSDYX - Calvert Short Duration Income Fund Y","Bond (Fixed Inc)","Environmental","Pollution/Toxics","C",1,1.88
"CSDYX - Calvert Short Duration Income Fund Y","Bond (Fixed Inc)","Governance","Board Issues","C",1,1.88
"CSDYX - Calvert Short Duration Income Fund Y","Bond (Fixed Inc)","Governance","Executive Pay","C",1,1.88
"CSDYX - Calvert Short Duration Income Fund Y","Bond (Fixed Inc)","Products","Alcohol","R",1,1.88
"CSDYX - Calvert Short Duration Income Fund Y","Bond (Fixed Inc)","Products","Animal Welfare","R",1,1.88
"CSDYX - Calvert Short Duration Income Fund Y","Bond (Fixed Inc)","Products","Defense/Weapons","R",1,1.88
"CSDYX - Calvert Short Duration Income Fund Y","Bond (Fixed Inc)","Products","Gambling","R",1,1.88
"CSDYX - Calvert Short Duration Income Fund Y","Bond (Fixed Inc)","Products","Tobacco","R",1,1.88
"CSDYX - Calvert Short Duration Income Fund Y","Bond (Fixed Inc)","Social","Community Development","C",1,1.88
"CSDYX - Calvert Short Duration Income Fund Y","Bond (Fixed Inc)","Social","Diversity & EEO","C",1,1.88
"CSDYX - Calvert Short Duration Income Fund Y","Bond (Fixed Inc)","Social","Human Rights","C",1,1.88
"CSDYX - Calvert Short Duration Income Fund Y","Bond (Fixed Inc)","Social","Labor Relations","C",1,1.88
"CSDYX - Calvert Short Duration Income Fund Y","Bond (Fixed Inc)","Social","Sudan","X",1,1.88
"CSECX - Calvert Equity Portfolio C","Equity Large Cap","Environmental","Climate/Clean Technology","C",1,8.03
"CSECX - Calvert Equity Portfolio C","Equity Large Cap","Environmental","Environment","C",1,8.03
"CSECX - Calvert Equity Portfolio C","Equity Large Cap","Environmental","Pollution/Toxics","C",1,8.03
"CSECX - Calvert Equity Portfolio C","Equity Large Cap","Governance","Board Issues","C",1,8.03
"CSECX - Calvert Equity Portfolio C","Equity Large Cap","Governance","Executive Pay","C",1,8.03
"CSECX - Calvert Equity Portfolio C","Equity Large Cap","Products","Alcohol","R",1,8.03
"CSECX - Calvert Equity Portfolio C","Equity Large Cap","Products","Animal Welfare","R",1,8.03
"CSECX - Calvert Equity Portfolio C","Equity Large Cap","Products","Defense/Weapons","R",1,8.03
"CSECX - Calvert Equity Portfolio C","Equity Large Cap","Products","Gambling","R",1,8.03
"CSECX - Calvert Equity Portfolio C","Equity Large Cap","Products","Tobacco","R",1,8.03
"CSECX - Calvert Equity Portfolio C","Equity Large Cap","Social","Community Development","C",1,8.03
"CSECX - Calvert Equity Portfolio C","Equity Large Cap","Social","Diversity & EEO","C",1,8.03
"CSECX - Calvert Equity Portfolio C","Equity Large Cap","Social","Human Rights","C",1,8.03
"CSECX - Calvert Equity Portfolio C","Equity Large Cap","Social","Labor Relations","C",1,8.03
"CSECX - Calvert Equity Portfolio C","Equity Large Cap","Social","Sudan","--",1,8.03
"CSGCX - Calvert Balanced Portfolio C","Balanced","Environmental","Climate/Clean Technology","C",1,3.71
"CSGCX - Calvert Balanced Portfolio C","Balanced","Environmental","Environment","C",1,3.71
"CSGCX - Calvert Balanced Portfolio C","Balanced","Environmental","Pollution/Toxics","C",1,3.71
"CSGCX - Calvert Balanced Portfolio C","Balanced","Governance","Board Issues","C",1,3.71
"CSGCX - Calvert Balanced Portfolio C","Balanced","Governance","Executive Pay","C",1,3.71
"CSGCX - Calvert Balanced Portfolio C","Balanced","Products","Alcohol","C",1,3.71
"CSGCX - Calvert Balanced Portfolio C","Balanced","Products","Animal Welfare","--",1,3.71
"CSGCX - Calvert Balanced Portfolio C","Balanced","Products","Defense/Weapons","C",1,3.71
"CSGCX - Calvert Balanced Portfolio C","Balanced","Products","Gambling","R",1,3.71
"CSGCX - Calvert Balanced Portfolio C","Balanced","Products","Tobacco","R",1,3.71
"CSGCX - Calvert Balanced Portfolio C","Balanced","Social","Community Development","P",1,3.71
"CSGCX - Calvert Balanced Portfolio C","Balanced","Social","Diversity & EEO","C",1,3.71
"CSGCX - Calvert Balanced Portfolio C","Balanced","Social","Human Rights","C",1,3.71
"CSGCX - Calvert Balanced Portfolio C","Balanced","Social","Labor Relations","C",1,3.71
"CSGCX - Calvert Balanced Portfolio C","Balanced","Social","Sudan","X",1,3.71
"CSIBX - Calvert Bond Portfolio A","Bond (Fixed Inc)","Environmental","Climate/Clean Technology","C",1,2.71
"CSIBX - Calvert Bond Portfolio A","Bond (Fixed Inc)","Environmental","Environment","C",1,2.71
"CSIBX - Calvert Bond Portfolio A","Bond (Fixed Inc)","Environmental","Pollution/Toxics","C",1,2.71
"CSIBX - Calvert Bond Portfolio A","Bond (Fixed Inc)","Governance","Board Issues","C",1,2.71
"CSIBX - Calvert Bond Portfolio A","Bond (Fixed Inc)","Governance","Executive Pay","C",1,2.71
"CSIBX - Calvert Bond Portfolio A","Bond (Fixed Inc)","Products","Alcohol","C",1,2.71
"CSIBX - Calvert Bond Portfolio A","Bond (Fixed Inc)","Products","Animal Welfare","--",1,2.71
"CSIBX - Calvert Bond Portfolio A","Bond (Fixed Inc)","Products","Defense/Weapons","C",1,2.71
"CSIBX - Calvert Bond Portfolio A","Bond (Fixed Inc)","Products","Gambling","R",1,2.71
"CSIBX - Calvert Bond Portfolio A","Bond (Fixed Inc)","Products","Tobacco","R",1,2.71
"CSIBX - Calvert Bond Portfolio A","Bond (Fixed Inc)","Social","Community Development","P",1,2.71
"CSIBX - Calvert Bond Portfolio A","Bond (Fixed Inc)","Social","Diversity & EEO","C",1,2.71
"CSIBX - Calvert Bond Portfolio A","Bond (Fixed Inc)","Social","Human Rights","C",1,2.71
"CSIBX - Calvert Bond Portfolio A","Bond (Fixed Inc)","Social","Labor Relations","C",1,2.71
"CSIBX - Calvert Bond Portfolio A","Bond (Fixed Inc)","Social","Sudan","X",1,2.71
"CSIEX - Calvert Equity Portfolio A","Equity Large Cap","Environmental","Climate/Clean Technology","C",1,8.84
"CSIEX - Calvert Equity Portfolio A","Equity Large Cap","Environmental","Environment","C",1,8.84
"CSIEX - Calvert Equity Portfolio A","Equity Large Cap","Environmental","Pollution/Toxics","C",1,8.84
"CSIEX - Calvert Equity Portfolio A","Equity Large Cap","Governance","Board Issues","C",1,8.84
"CSIEX - Calvert Equity Portfolio A","Equity Large Cap","Governance","Executive Pay","C",1,8.84
"CSIEX - Calvert Equity Portfolio A","Equity Large Cap","Products","Alcohol","R",1,8.84
"CSIEX - Calvert Equity Portfolio A","Equity Large Cap","Products","Animal Welfare","R",1,8.84
"CSIEX - Calvert Equity Portfolio A","Equity Large Cap","Products","Defense/Weapons","R",1,8.84
"CSIEX - Calvert Equity Portfolio A","Equity Large Cap","Products","Gambling","R",1,8.84
"CSIEX - Calvert Equity Portfolio A","Equity Large Cap","Products","Tobacco","R",1,8.84
"CSIEX - Calvert Equity Portfolio A","Equity Large Cap","Social","Community Development","C",1,8.84
"CSIEX - Calvert Equity Portfolio A","Equity Large Cap","Social","Diversity & EEO","C",1,8.84
"CSIEX - Calvert Equity Portfolio A","Equity Large Cap","Social","Human Rights","C",1,8.84
"CSIEX - Calvert Equity Portfolio A","Equity Large Cap","Social","Labor Relations","C",1,8.84
"CSIEX - Calvert Equity Portfolio A","Equity Large Cap","Social","Sudan","--",1,8.84
"CSIFX - Calvert Balanced Portfolio A","Balanced","Environmental","Climate/Clean Technology","C",1,4.55
"CSIFX - Calvert Balanced Portfolio A","Balanced","Environmental","Environment","C",1,4.55
"CSIFX - Calvert Balanced Portfolio A","Balanced","Environmental","Pollution/Toxics","C",1,4.55
