"Name","Fund Type","Attribute Type","Attribute","Rating","Count","Avg % 3 yr","Avg % 1 yr","Avg % 5 yr","Avg % 10 yr","Mgmt Fee %","Exp Ratio %","AUM (US$ millions)"
"CDSIX - Calvert Short Duration Income Fund I","Bond (Fixed Inc)","Products","Alcohol","R",1,2.06,2.07,2.22,3.59,0.46,0.52,1373.05
"CDSIX - Calvert Short Duration Income Fund I","Bond (Fixed Inc)","Products","Animal Welfare","R",1,2.06,2.07,2.22,3.59,0.46,0.52,1373.05
"CDSIX - Calvert Short Duration Income Fund I","Bond (Fixed Inc)","Products","Defense/Weapons","R",1,2.06,2.07,2.22,3.59,0.46,0.52,1373.05
"CDSIX - Calvert Short Duration Income Fund I","Bond (Fixed Inc)","Products","Gambling","R",1,2.06,2.07,2.22,3.59,0.46,0.52,1373.05
"CDSIX - Calvert Short Duration Income Fund I","Bond (Fixed Inc)","Products","Tobacco","R",1,2.06,2.07,2.22,3.59,0.46,0.52,1373.05
"CDSIX - Calvert Short Duration Income Fund I","Bond (Fixed Inc)","Social","Community Development","C",1,2.06,2.07,2.22,3.59,0.46,0.52,1373.05
"CDSIX - Calvert Short Duration Income Fund I","Bond (Fixed Inc)","Social","Diversity & EEO","C",1,2.06,2.07,2.22,3.59,0.46,0.52,1373.05
"CDSIX - Calvert Short Duration Income Fund I","Bond (Fixed Inc)","Social","Human Rights","C",1,2.06,2.07,2.22,3.59,0.46,0.52,1373.05
"CDSIX - Calvert Short Duration Income Fund I","Bond (Fixed Inc)","Social","Labor Relations","C",1,2.06,2.07,2.22,3.59,0.46,0.52,1373.05
"CDSIX - Calvert Short Duration Income Fund I","Bond (Fixed Inc)","Social","Sudan","--",1,2.06,2.07,2.22,3.59,0.46,0.52,1373.05
"CEYIX - Calvert Equity Portfolio I","Equity Large Cap","Environmental","Climate/Clean Technology","C",1,9.32,14.28,13.29,8.31,0.00,0.66,2122.29
"CEYIX - Calvert Equity Portfolio I","Equity Large Cap","Environmental","Environment","C",1,9.32,14.28,13.29,8.31,0.00,0.66,2122.29
"CEYIX - Calvert Equity Portfolio I","Equity Large Cap","Environmental","Pollution/Toxics","C",1,9.32,14.28,13.29,8.31,0.00,0.66,2122.29
"CEYIX - Calvert Equity Portfolio I","Equity Large Cap","Governance","Board Issues","C",1,9.32,14.28,13.29,8.31,0.00,0.66,2122.29
"CEYIX - Calvert Equity Portfolio I","Equity Large Cap","Governance","Executive Pay","C",1,9.32,14.28,13.29,8.31,0.00,0.66,2122.29
"CEYIX - Calvert Equity Portfolio I","Equity Large Cap","Products","Alcohol","R",1,9.32,14.28,13.29,8.31,0.00,0.66,2122.29
"CEYIX - Calvert Equity Portfolio I","Equity Large Cap","Products","Animal Welfare","R",1,9.32,14.28,13.29,8.31,0.00,0.66,2122.29
"CEYIX - Calvert Equity Portfolio I","Equity Large Cap","Products","Defense/Weapons","R",1,9.32,14.28,13.29,8.31,0.00,0.66,2122.29
"CEYIX - Calvert Equity Portfolio I","Equity Large Cap","Products","Gambling","R",1,9.32,14.28,13.29,8.31,0.00,0.66,2122.29
"CEYIX - Calvert Equity Portfolio I","Equity Large Cap","Products","Tobacco","R",1,9.32,14.28,13.29,8.31,0.00,0.66,2122.29
"CEYIX - Calvert Equity Portfolio I","Equity Large Cap","Social","Community Development","C",1,9.32,14.28,13.29,8.31,0.00,0.66,2122.29
"CEYIX - Calvert Equity Portfolio I","Equity Large Cap","Social","Diversity & EEO","C",1,9.32,14.28,13.29,8.31,0.00,0.66,2122.29
"CEYIX - Calvert Equity Portfolio I","Equity Large Cap","Social","Human Rights","C",1,9.32,14.28,13.29,8.31,0.00,0.66,2122.29
"CEYIX - Calvert Equity Portfolio I","Equity Large Cap","Social","Labor Relations","C",1,9.32,14.28,13.29,8.31,0.00,0.66,2122.29
"CEYIX - Calvert Equity Portfolio I","Equity Large Cap","Social","Sudan","--",1,9.32,14.28,13.29,8.31,0.00,0.66,2122.29
"CFICX - Calvert Income Fund A","Bond (Fixed Inc)","Environmental","Climate/Clean Technology","C",1,2.96,2.39,3.18,3.68,0.52,1.24,521.79
"CFICX - Calvert Income Fund A","Bond (Fixed Inc)","Environmental","Environment","C",1,2.96,2.39,3.18,3.68,0.52,1.24,521.79
"CFICX - Calvert Income Fund A","Bond (Fixed Inc)","Environmental","Pollution/Toxics","C",1,2.96,2.39,3.18,3.68,0.52,1.24,521.79
"CFICX - Calvert Income Fund A","Bond (Fixed Inc)","Governance","Board Issues","C",1,2.96,2.39,3.18,3.68,0.52,1.24,521.79
"CFICX - Calvert Income Fund A","Bond (Fixed Inc)","Governance","Executive Pay","C",1,2.96,2.39,3.18,3.68,0.52,1.24,521.79
"CFICX - Calvert Income Fund A","Bond (Fixed Inc)","Products","Alcohol","R",1,2.96,2.39,3.18,3.68,0.52,1.24,521.79
"CFICX - Calvert Income Fund A","Bond (Fixed Inc)","Products","Animal Welfare","R",1,2.96,2.39,3.18,3.68,0.52,1.24,521.79
"CFICX - Calvert Income Fund A","Bond (Fixed Inc)","Products","Defense/Weapons","R",1,2.96,2.39,3.18,3.68,0.52,1.24,521.79
"CFICX - Calvert Income Fund A","Bond (Fixed Inc)","Products","Gambling","R",1,2.96,2.39,3.18,3.68,0.52,1.24,521.79
"CFICX - Calvert Income Fund A","Bond (Fixed Inc)","Products","Tobacco","R",1,2.96,2.39,3.18,3.68,0.52,1.24,521.79
"CFICX - Calvert Income Fund A","Bond (Fixed Inc)","Social","Community Development","C",1,2.96,2.39,3.18,3.68,0.52,1.24,521.79
"CFICX - Calvert Income Fund A","Bond (Fixed Inc)","Social","Diversity & EEO","C",1,2.96,2.39,3.18,3.68,0.52,1.24,521.79
"CFICX - Calvert Income Fund A","Bond (Fixed Inc)","Social","Human Rights","C",1,2.96,2.39,3.18,3.68,0.52,1.24,521.79
"CFICX - Calvert Income Fund A","Bond (Fixed Inc)","Social","Labor Relations","C",1,2.96,2.39,3.18,3.68,0.52,1.24,521.79
"CFICX - Calvert Income Fund A","Bond (Fixed Inc)","Social","Sudan","C",1,2.96,2.39,3.18,3.68,0.52,1.24,521.79
"CFJAX - Calvert U.S. Large Cap Value Responsible Index Fund A","Equity Large Cap","Environmental","Climate/Clean Technology","C",1,0.00,13.38,0.00,0.00,0.27,0.57,120.44
"CFJAX - Calvert U.S. Large Cap Value Responsible Index Fund A","Equity Large Cap","Environmental","Environment","C",1,0.00,13.38,0.00,0.00,0.27,0.57,120.44
"CFJAX - Calvert U.S. Large Cap Value Responsible Index Fund A","Equity Large Cap","Environmental","Pollution/Toxics","C",1,0.00,13.38,0.00,0.00,0.27,0.57,120.44
"CFJAX - Calvert U.S. Large Cap Value Responsible Index Fund A","Equity Large Cap","Governance","Board Issues","C",1,0.00,13.38,0.00,0.00,0.27,0.57,120.44
"CFJAX - Calvert U.S. Large Cap Value Responsible Index Fund A","Equity Large Cap","Governance","Executive Pay","C",1,0.00,13.38,0.00,0.00,0.27,0.57,120.44
"CFJAX - Calvert U.S. Large Cap Value Responsible Index Fund A","Equity Large Cap","Products","Alcohol","R",1,0.00,13.38,0.00,0.00,0.27,0.57,120.44
"CFJAX - Calvert U.S. Large Cap Value Responsible Index Fund A","Equity Large Cap","Products","Animal Welfare","R",1,0.00,13.38,0.00,0.00,0.27,0.57,120.44
"CFJAX - Calvert U.S. Large Cap Value Responsible Index Fund A","Equity Large Cap","Products","Defense/Weapons","R",1,0.00,13.38,0.00,0.00,0.27,0.57,120.44
"CFJAX - Calvert U.S. Large Cap Value Responsible Index Fund A","Equity Large Cap","Products","Gambling","R",1,0.00,13.38,0.00,0.00,0.27,0.57,120.44
"CFJAX - Calvert U.S. Large Cap Value Responsible Index Fund A","Equity Large Cap","Products","Tobacco","R",1,0.00,13.38,0.00,0.00,0.27,0.57,120.44
"CFJAX - Calvert U.S. Large Cap Value Responsible Index Fund A","Equity Large Cap","Social","Community Development","C",1,0.00,13.38,0.00,0.00,0.27,0.57,120.44
"CFJAX - Calvert U.S. Large Cap Value Responsible Index Fund A","Equity Large Cap","Social","Diversity & EEO","C",1,0.00,13.38,0.00,0.00,0.27,0.57,120.44
"CFJAX - Calvert U.S. Large Cap Value Responsible Index Fund A","Equity Large Cap","Social","Human Rights","C",1,0.00,13.38,0.00,0.00,0.27,0.57,120.44
"CFJAX - Calvert U.S. Large Cap Value Responsible Index Fund A","Equity Large Cap","Social","Labor Relations","C",1,0.00,13.38,0.00,0.00,0.27,0.57,120.44
"CFJAX - Calvert U.S. Large Cap Value Responsible Index Fund A","Equity Large Cap","Social","Sudan","--",1,0.00,13.38,0.00,0.00,0.27,0.57,120.44
"CFJCX - Calvert U.S. Large Cap Value Responsible Index Fund C","Equity Large Cap","Environmental","Climate/Clean Technology","C",1,0.00,12.63,0.00,0.00,0.27,1.32,120.44
"CFJCX - Calvert U.S. Large Cap Value Responsible Index Fund C","Equity Large Cap","Environmental","Environment","C",1,0.00,12.63,0.00,0.00,0.27,1.32,120.44
"CFJCX - Calvert U.S. Large Cap Value Responsible Index Fund C","Equity Large Cap","Environmental","Pollution/Toxics","C",1,0.00,12.63,0.00,0.00,0.27,1.32,120.44
"CFJCX - Calvert U.S. Large Cap Value Responsible Index Fund C","Equity Large Cap","Governance","Board Issues","C",1,0.00,12.63,0.00,0.00,0.27,1.32,120.44
"CFJCX - Calvert U.S. Large Cap Value Responsible Index Fund C","Equity Large Cap","Governance","Executive Pay","C",1,0.00,12.63,0.00,0.00,0.27,1.32,120.44
"CFJCX - Calvert U.S. Large Cap Value Responsible Index Fund C","Equity Large Cap","Products","Alcohol","R",1,0.00,12.63,0.00,0.00,0.27,1.32,120.44
"CFJCX - Calvert U.S. Large Cap Value Responsible Index Fund C","Equity Large Cap","Products","Animal Welfare","R",1,0.00,12.63,0.00,0.00,0.27,1.32,120.44
"CFJCX - Calvert U.S. Large Cap Value Responsible Index Fund C","Equity Large Cap","Products","Defense/Weapons","R",1,0.00,12.63,0.00,0.00,0.27,1.32,120.44
"CFJCX - Calvert U.S. Large Cap Value Responsible Index Fund C","Equity Large Cap","Products","Gambling","R",1,0.00,12.63,0.00,0.00,0.27,1.32,120.44
"CFJCX - Calvert U.S. Large Cap Value Responsible Index Fund C","Equity Large Cap","Products","Tobacco","R",1,0.00,12.63,0.00,0.00,0.27,1.32,120.44
"CFJCX - Calvert U.S. Large Cap Value Responsible Index Fund C","Equity Large Cap","Social","Community Development","C",1,0.00,12.63,0.00,0.00,0.27,1.32,120.44
"CFJCX - Calvert U.S. Large Cap Value Responsible Index Fund C","Equity Large Cap","Social","Diversity & EEO","C",1,0.00,12.63,0.00,0.00,0.27,1.32,120.44
"CFJCX - Calvert U.S. Large Cap Value Responsible Index Fund C","Equity Large Cap","Social","Human Rights","C",1,0.00,12.63,0.00,0.00,0.27,1.32,120.44
"CFJCX - Calvert U.S. Large Cap Value Responsible Index Fund C","Equity Large Cap","Social","Labor Relations","C",1,0.00,12.63,0.00,0.00,0.27,1.32,120.44
"CFJCX - Calvert U.S. Large Cap Value Responsible Index Fund C","Equity Large Cap","Social","Sudan","--",1,0.00,12.63,0.00,0.00,0.27,1.32,120.44
"CFJIX - Calvert U.S. Large Cap Value Responsible Index Fund I","Equity Large Cap","Environmental","Climate/Clean Technology","C",1,0.00,13.76,0.00,0.00,0.27,0.22,120.44
"CFJIX - Calvert U.S. Large Cap Value Responsible Index Fund I","Equity Large Cap","Environmental","Environment","C",1,0.00,13.76,0.00,0.00,0.27,0.22,120.44
"CFJIX - Calvert U.S. Large Cap Value Responsible Index Fund I","Equity Large Cap","Environmental","Pollution/Toxics","C",1,0.00,13.76,0.00,0.00,0.27,0.22,120.44
"CFJIX - Calvert U.S. Large Cap Value Responsible Index Fund I","Equity Large Cap","Governance","Board Issues","C",1,0.00,13.76,0.00,0.00,0.27,0.22,120.44
"CFJIX - Calvert U.S. Large Cap Value Responsible Index Fund I","Equity Large Cap","Governance","Executive Pay","C",1,0.00,13.76,0.00,0.00,0.27,0.22,120.44
"CFJIX - Calvert U.S. Large Cap Value Responsible Index Fund I","Equity Large Cap","Products","Alcohol","R",1,0.00,13.76,0.00,0.00,0.27,0.22,120.44
"CFJIX - Calvert U.S. Large Cap Value Responsible Index Fund I","Equity Large Cap","Products","Animal Welfare","R",1,0.00,13.76,0.00,0.00,0.27,0.22,120.44
"CFJIX - Calvert U.S. Large Cap Value Responsible Index Fund I","Equity Large Cap","Products","Defense/Weapons","R",1,0.00,13.76,0.00,0.00,0.27,0.22,120.44
"CFJIX - Calvert U.S. Large Cap Value Responsible Index Fund I","Equity Large Cap","Products","Gambling","R",1,0.00,13.76,0.00,0.00,0.27,0.22,120.44
"CFJIX - Calvert U.S. Large Cap Value Responsible Index Fund I","Equity Large Cap","Products","Tobacco","R",1,0.00,13.76,0.00,0.00,0.27,0.22,120.44
"CFJIX - Calvert U.S. Large Cap Value Responsible Index Fund I","Equity Large Cap","Social","Community Development","C",1,0.00,13.76,0.00,0.00,0.27,0.22,120.44
"CFJIX - Calvert U.S. Large Cap Value Responsible Index Fund I","Equity Large Cap","Social","Diversity & EEO","C",1,0.00,13.76,0.00,0.00,0.27,0.22,120.44
"CFJIX - Calvert U.S. Large Cap Value Responsible Index Fund I","Equity Large Cap","Social","Human Rights","C",1,0.00,13.76,0.00,0.00,0.27,0.22,120.44
"CFJIX - Calvert U.S. Large Cap Value Responsible Index Fund I","Equity Large Cap","Social","Labor Relations","C",1,0.00,13.76,0.00,0.00,0.27,0.22,120.44
"CFJIX - Calvert U.S. Large Cap Value Responsible Index Fund I","Equity Large Cap","Social","Sudan","--",1,0.00,13.76,0.00,0.00,0.27,0.22,120.44
"CFJYX - Calvert U.S. Large Cap Value Responsible Index Fund Y","Equity Large Cap","Environmental","Climate/Clean Technology","C",1,0.00,13.64,0.00,0.00,0.27,0.32,120.44
"CFJYX - Calvert U.S. Large Cap Value Responsible Index Fund Y","Equity Large Cap","Environmental","Environment","C",1,0.00,13.64,0.00,0.00,0.27,0.32,120.44
"CFJYX - Calvert U.S. Large Cap Value Responsible Index Fund Y","Equity Large Cap","Environmental","Pollution/Toxics","C",1,0.00,13.64,0.00,0.00,0.27,0.32,120.44
"CFJYX - Calvert U.S. Large Cap Value Responsible Index Fund Y","Equity Large Cap","Governance","Board Issues","C",1,0.00,13.64,0.00,0.00,0.27,0.32,120.44
"CFJYX - Calvert U.S. Large Cap Value Responsible Index Fund Y","Equity Large Cap","Governance","Executive Pay","C",1,0.00,13.64,0.00,0.00,0.27,0.32,120.44
"CFJYX - Calvert U.S. Large Cap Value Responsible Index Fund Y","Equity Large Cap","Products","Alcohol","R",1,0.00,13.64,0.00,0.00,0.27,0.32,120.44
"CFJYX - Calvert U.S. Large Cap Value Responsible Index Fund Y","Equity Large Cap","Products","Animal Welfare","R",1,0.00,13.64,0.00,0.00,0.27,0.32,120.44
"CFJYX - Calvert U.S. Large Cap Value Responsible Index Fund Y","Equity Large Cap","Products","Defense/Weapons","R",1,0.00,13.64,0.00,0.00,0.27,0.32,120.44
"CFJYX - Calvert U.S. Large Cap Value Responsible Index Fund Y","Equity Large Cap","Products","Gambling","R",1,0.00,13.64,0.00,0.00,0.27,0.32,120.44
"CFJYX - Calvert U.S. Large Cap Value Responsible Index Fund Y","Equity Large Cap","Products","Tobacco","R",1,0.00,13.64,0.00,0.00,0.27,0.32,120.44
"CFJYX - Calvert U.S. Large Cap Value Responsible Index Fund Y","Equity Large Cap","Social","Community Development","C",1,0.00,13.64,0.00,0.00,0.27,0.32,120.44
"CFJYX - Calvert U.S. Large Cap Value Responsible Index Fund Y","Equity Large Cap","Social","Diversity & EEO","C",1,0.00,13.64,0.00,0.00,0.27,0.32,120.44
"CFJYX - Calvert U.S. Large Cap Value Responsible Index Fund Y","Equity Large Cap","Social","Human Rights","C",1,0.00,13.64,0.00,0.00,0.27,0.32,120.44
"CFJYX - Calvert U.S. Large Cap Value Responsible Index Fund Y","Equity Large Cap","Social","Labor Relations","C",1,0.00,13.64,0.00,0.00,0.27,0.32,120.44
"CFJYX - Calvert U.S. Large Cap Value Responsible Index Fund Y","Equity Large Cap","Social","Sudan","--",1,0.00,13.64,0.00,0.00,0.27,0.32,120.44
"CFWAX - Calvert Global Water Fund A","Int'l Global","Environmental","Climate/Clean Technology","C",1,0.19,10.16,8.40,0.00,0.84,1.28,443.54
"CFWAX - Calvert Global Water Fund A","Int'l Global","Environmental","Environment","C",1,0.19,10.16,8.40,0.00,0.84,1.28,443.54
"CFWAX - Calvert Global Water Fund A","Int'l Global","Environmental","Pollution/Toxics","C",1,0.19,10.16,8.40,0.00,0.84,1.28,443.54
"CFWAX - Calvert Global Water Fund A","Int'l Global","Governance","Board Issues","C",1,0.19,10.16,8.40,0.00,0.84,1.28,443.54
"CFWAX - Calvert Global Water Fund A","Int'l Global","Governance","Executive Pay","C",1,0.19,10.16,8.40,0.00,0.84,1.28,443.54
"CFWAX - Calvert Global Water Fund A","Int'l Global","Products","Alcohol","R",1,0.19,10.16,8.40,0.00,0.84,1.28,443.54
"CFWAX - Calvert Global Water Fund A","Int'l Global","Products","Animal Welfare","R",1,0.19,10.16,8.40,0.00,0.84,1.28,443.54
"CFWAX - Calvert Global Water Fund A","Int'l Global","Products","Defense/Weapons","R",1,0.19,10.16,8.40,0.00,0.84,1.28,443.54
"CFWAX - Calvert Global Water Fund A","Int'l Global","Products","Gambling","R",1,0.19,10.16,8.40,0.00,0.84,1.28,443.54
"CFWAX - Calvert Global Water Fund A","Int'l Global","Products","Tobacco","R",1,0.19,10.16,8.40,0.00,0.84,1.28,443.54
"CFWAX - Calvert Global Water Fund A","Int'l Global","Social","Community Development","C",1,0.19,10.16,8.40,0.00,0.84,1.28,443.54
"CFWAX - Calvert Global Water Fund A","Int'l Global","Social","Diversity & EEO","C",1,0.19,10.16,8.40,0.00,0.84,1.28,443.54
"CFWAX - Calvert Global Water Fund A","Int'l Global","Social","Human Rights","C",1,0.19,10.16,8.40,0.00,0.84,1.28,443.54
"CFWAX - Calvert Global Water Fund A","Int'l Global","Social","Labor Relations","C",1,0.19,10.16,8.40,0.00,0.84,1.28,443.54
"CFWAX - Calvert Global Water Fund A","Int'l Global","Social","Sudan","--",1,0.19,10.16,8.40,0.00,0.84,1.28,443.54
"CFWCX - Calvert Global Water Fund C","Int'l Global","Environmental","Climate/Clean Technology","C",1,-0.53,9.37,7.57,0.00,0.84,2.03,443.54
"CFWCX - Calvert Global Water Fund C","Int'l Global","Environmental","Environment","C",1,-0.53,9.37,7.57,0.00,0.84,2.03,443.54
"CFWCX - Calvert Global Water Fund C","Int'l Global","Environmental","Pollution/Toxics","C",1,-0.53,9.37,7.57,0.00,0.84,2.03,443.54
"CFWCX - Calvert Global Water Fund C","Int'l Global","Governance","Board Issues","C",1,-0.53,9.37,7.57,0.00,0.84,2.03,443.54
"CFWCX - Calvert Global Water Fund C","Int'l Global","Governance","Executive Pay","C",1,-0.53,9.37,7.57,0.00,0.84,2.03,443.54
"CFWCX - Calvert Global Water Fund C","Int'l Global","Products","Alcohol","R",1,-0.53,9.37,7.57,0.00,0.84,2.03,443.54
"CFWCX - Calvert Global Water Fund C","Int'l Global","Products","Animal Welfare","R",1,-0.53,9.37,7.57,0.00,0.84,2.03,443.54
"CFWCX - Calvert Global Water Fund C","Int'l Global","Products","Defense/Weapons","R",1,-0.53,9.37,7.57,0.00,0.84,2.03,443.54
"CFWCX - Calvert Global Water Fund C","Int'l Global","Products","Gambling","R",1,-0.53,9.37,7.57,0.00,0.84,2.03,443.54
"CFWCX - Calvert Global Water Fund C","Int'l Global","Products","Tobacco","R",1,-0.53,9.37,7.57,0.00,0.84,2.03,443.54
"CFWCX - Calvert Global Water Fund C","Int'l Global","Social","Community Development","C",1,-0.53,9.37,7.57,0.00,0.84,2.03,443.54
"CFWCX - Calvert Global Water Fund C","Int'l Global","Social","Diversity & EEO","C",1,-0.53,9.37,7.57,0.00,0.84,2.03,443.54
"CFWCX - Calvert Global Water Fund C","Int'l Global","Social","Human Rights","C",1,-0.53,9.37,7.57,0.00,0.84,2.03,443.54
"CFWCX - Calvert Global Water Fund C","Int'l Global","Social","Labor Relations","C",1,-0.53,9.37,7.57,0.00,0.84,2.03,443.54
"CFWCX - Calvert Global Water Fund C","Int'l Global","Social","Sudan","--",1,-0.53,9.37,7.57,0.00,0.84,2.03,443.54
"CFWIX - Calvert Global Water Fund I","Int'l Global","Environmental","Climate/Clean Technology","C",1,0.63,10.58,0.00,0.00,0.99,1.29,443.54
"CFWIX - Calvert Global Water Fund I","Int'l Global","Environmental","Environment","C",1,0.63,10.58,0.00,0.00,0.99,1.29,443.54
"CFWIX - Calvert Global Water Fund I","Int'l Global","Environmental","Pollution/Toxics","C",1,0.63,10.58,0.00,0.00,0.99,1.29,443.54
"CFWIX - Calvert Global Water Fund I","Int'l Global","Governance","Board Issues","C",1,0.63,10.58,0.00,0.00,0.99,1.29,443.54
"CFWIX - Calvert Global Water Fund I","Int'l Global","Governance","Executive Pay","C",1,0.63,10.58,0.00,0.00,0.99,1.29,443.54
"CFWIX - Calvert Global Water Fund I","Int'l Global","Products","Alcohol","R",1,0.63,10.58,0.00,0.00,0.99,1.29,443.54
"CFWIX - Calvert Global Water Fund I","Int'l Global","Products","Animal Welfare","R",1,0.63,10.58,0.00,0.00,0.99,1.29,443.54
"CFWIX - Calvert Global Water Fund I","Int'l Global","Products","Defense/Weapons","R",1,0.63,10.58,0.00,0.00,0.99,1.29,443.54
"CFWIX - Calvert Global Water Fund I","Int'l Global","Products","Gambling","R",1,0.63,10.58,0.00,0.00,0.99,1.29,443.54
"CFWIX - Calvert Global Water Fund I","Int'l Global","Products","Tobacco","R",1,0.63,10.58,0.00,0.00,0.99,1.29,443.54
"CFWIX - Calvert Global Water Fund I","Int'l Global","Social","Community Development","C",1,0.63,10.58,0.00,0.00,0.99,1.29,443.54
"CFWIX - Calvert Global Water Fund I","Int'l Global","Social","Diversity & EEO","C",1,0.63,10.58,0.00,0.00,0.99,1.29,443.54
"CFWIX - Calvert Global Water Fund I","Int'l Global","Social","Human Rights","C",1,0.63,10.58,0.00,0.00,0.99,1.29,443.54
"CFWIX - Calvert Global Water Fund I","Int'l Global","Social","Labor Relations","C",1,0.63,10.58,0.00,0.00,0.99,1.29,443.54
"CFWIX - Calvert Global Water Fund I","Int'l Global","Social","Sudan","--",1,0.63,10.58,0.00,0.00,0.99,1.29,443.54
"CFWYX - Calvert Global Water Fund Y","Int'l Global","Environmental","Climate/Clean Technology","C",1,0.49,10.42,8.73,0.00,0.84,1.03,443.54
"CFWYX - Calvert Global Water Fund Y","Int'l Global","Environmental","Environment","C",1,0.49,10.42,8.73,0.00,0.84,1.03,443.54
"CFWYX - Calvert Global Water Fund Y","Int'l Global","Environmental","Pollution/Toxics","C",1,0.49,10.42,8.73,0.00,0.84,1.03,443.54
"CFWYX - Calvert Global Water Fund Y","Int'l Global","Governance","Board Issues","C",1,0.49,10.42,8.73,0.00,0.84,1.03,443.54
"CFWYX - Calvert Global Water Fund Y","Int'l Global","Governance","Executive Pay","C",1,0.49,10.42,8.73,0.00,0.84,1.03,443.54
"CFWYX - Calvert Global Water Fund Y","Int'l Global","Products","Alcohol","R",1,0.49,10.42,8.73,0.00,0.84,1.03,443.54
"CFWYX - Calvert Global Water Fund Y","Int'l Global","Products","Animal Welfare","R",1,0.49,10.42,8.73,0.00,0.84,1.03,443.54
"CFWYX - Calvert Global Water Fund Y","Int'l Global","Products","Defense/Weapons","R",1,0.49,10.42,8.73,0.00,0.84,1.03,443.54
"CFWYX - Calvert Global Water Fund Y","Int'l Global","Products","Gambling","R",1,0.49,10.42,8.73,0.00,0.84,1.03,443.54
"CFWYX - Calvert Global Water Fund Y","Int'l Global","Products","Tobacco","R",1,0.49,10.42,8.73,0.00,0.84,1.03,443.54
"CFWYX - Calvert Global Water Fund Y","Int'l Global","Social","Community Development","C",1,0.49,10.42,8.73,0.00,0.84,1.03,443.54
"CFWYX - Calvert Global Water Fund Y","Int'l Global","Social","Diversity & EEO","C",1,0.49,10.42,8.73,0.00,0.84,1.03,443.54
"CFWYX - Calvert Global Water Fund Y","Int'l Global","Social","Human Rights","C",1,0.49,10.42,8.73,0.00,0.84,1.03,443.54
"CFWYX - Calvert Global Water Fund Y","Int'l Global","Social","Labor Relations","C",1,0.49,10.42,8.73,0.00,0.84,1.03,443.54
"CFWYX - Calvert Global Water Fund Y","Int'l Global","Social","Sudan","--",1,0.49,10.42,8.73,0.00,0.84,1.03,443.54
"CGACX - Calvert Global Energy Solutions Fund C","Int'l Global","Environmental","Climate/Clean Technology","C",1,-3.71,14.19,6.26,-8.04,0.87,2.85,84.47
"CGACX - Calvert Global Energy Solutions Fund C","Int'l Global","Environmental","Environment","C",1,-3.71,14.19,6.26,-8.04,0.87,2.85,84.47
"CGACX - Calvert Global Energy Solutions Fund C","Int'l Global","Environmental","Pollution/Toxics","C",1,-3.71,14.19,6.26,-8.04,0.87,2.85,84.47
"CGACX - Calvert Global Energy Solutions Fund C","Int'l Global","Governance","Board Issues","C",1,-3.71,14.19,6.26,-8.04,0.87,2.85,84.47
"CGACX - Calvert Global Energy Solutions Fund C","Int'l Global","Governance","Executive Pay","C",1,-3.71,14.19,6.26,-8.04,0.87,2.85,84.47
"CGACX - Calvert Global Energy Solutions Fund C","Int'l Global","Products","Alcohol","R",1,-3.71,14.19,6.26,-8.04,0.87,2.85,84.47
"CGACX - Calvert Global Energy Solutions Fund C","Int'l Global","Products","Animal Welfare","R",1,-3.71,14.19,6.26,-8.04,0.87,2.85,84.47
"CGACX - Calvert Global Energy Solutions Fund C","Int'l Global","Products","Defense/Weapons","R",1,-3.71,14.19,6.26,-8.04,0.87,2.85,84.47
"CGACX - Calvert Global Energy Solutions Fund C","Int'l Global","Products","Gambling","R",1,-3.71,14.19,6.26,-8.04,0.87,2.85,84.47
"CGACX - Calvert Global Energy Solutions Fund C","Int'l Global","Products","Tobacco","R",1,-3.71,14.19,6.26,-8.04,0.87,2.85,84.47
"CGACX - Calvert Global Energy Solutions Fund C","Int'l Global","Social","Community Development","C",1,-3.71,14.19,6.26,-8.04,0.87,2.85,84.47
"CGACX - Calvert Global Energy Solutions Fund C","Int'l Global","Social","Diversity & EEO","C",1,-3.71,14.19,6.26,-8.04,0.87,2.85,84.47
"CGACX - Calvert Global Energy Solutions Fund C","Int'l Global","Social","Human Rights","C",1,-3.71,14.19,6.26,-8.04,0.87,2.85,84.47
"CGACX - Calvert Global Energy Solutions Fund C","Int'l Global","Social","Labor Relations","C",1,-3.71,14.19,6.26,-8.04,0.87,2.85,84.47
"CGACX - Calvert Global Energy Solutions Fund C","Int'l Global","Social","Sudan","--",1,-3.71,14.19,6.26,-8.04,0.87,2.85,84.47
"CGAEX - Calvert Global Energy Solutions Fund A","Int'l Global","Environmental","Climate/Clean Technology","C",1,-2.90,15.09,7.22,-7.16,0.87,1.85,84.47
"CGAEX - Calvert Global Energy Solutions Fund A","Int'l Global","Environmental","Environment","C",1,-2.90,15.09,7.22,-7.16,0.87,1.85,84.47
"CGAEX - Calvert Global Energy Solutions Fund A","Int'l Global","Environmental","Pollution/Toxics","C",1,-2.90,15.09,7.22,-7.16,0.87,1.85,84.47
"CGAEX - Calvert Global Energy Solutions Fund A","Int'l Global","Governance","Board Issues","C",1,-2.90,15.09,7.22,-7.16,0.87,1.85,84.47
"CGAEX - Calvert Global Energy Solutions Fund A","Int'l Global","Governance","Executive Pay","C",1,-2.90,15.09,7.22,-7.16,0.87,1.85,84.47
"CGAEX - Calvert Global Energy Solutions Fund A","Int'l Global","Products","Alcohol","R",1,-2.90,15.09,7.22,-7.16,0.87,1.85,84.47
